OLL,OLQV,1
OLL,RMED,1
OLL,URB,1
OLL,URYD,1
OLL,URYV,1
OLQD,AVE,1
OLQD,IL1D,1
OLQD,OLL,1
OLQD,RIB,1
OLQD,RMDV,1
OLQD,RMH,1
OLQD,SMBD,1
OLQD,URYD,1
OLQV,AVE,1
OLQV,IL1V,1
OLQV,OLL,1
OLQV,RIB,1
OLQV,RMDD,1
OLQV,RMH,1
PLN,SAAD,1
PLN,SMBV,1
PVC,AVJ,1
PVC,FLP,1
PVC,SIBD,1
PVC,SIBV,1
PVP,AIB,1
PVP,DVA,1
PVP,RIF,1
PVQ,ALA,1
PVQ,ASE,1
PVQ,ASH,1
PVQ,AVF,1
PVQ,AWA,1
PVQ,BDU,1
PVQ,RIP,1
PVR,CEPV,1
PVR,IL1V,1
PVR,PVW,1
PVT,RIB,1
PVT,RMEL/R,1
PVT,RMF,1
PVT,RMH,1
PVT,URYV,1
PVW,AVB,1
PVW,AVF,1
PVW,AVJ,1
PVW,BDU,1
PVW,PVR,1
PVW,PVW,1
PVW,RIC,1
PVW,RIF,1
PVW,RIP,1
PVW,RMG,1
PVW,URAD,1
RIA,IL1L/R,1
RIA,SIBD,1
RIB,RIG,1
RIB,RIH,1
RIB,RIM,1
RIB,SMDD,1
RIC,AVB,1
RIC,RIC,1
RIF,ADA,1
RIF,AIZ,1
RIF,AVF,1
RIF,RIP,1
RIF,RIR,1
RIF,RMG,1
RIG,ALN,1
RIG,AVB,1
RIG,PVP,1
RIG,RIA,1
RIG,RMF,1
RIG,URX,1
RIH,IL1V,1
RIH,IL2D,1
RIH,IL2V,1
RIH,RIM,1
RIH,RIR,1
RIH,URX,1
RIM,ADA,1
RIM,AVE,1
RIM,RIG,1
RIM,RMF,1
RIR,AQR,1
RIR,BAG,1
RIS,RMEL/R,1
RIS,SMDV,1
RIV,CEPV,1
RIV,RIV,1
RMDD,RMEV,1
RMDD,URAD,1
RMDL/R,BWM06D,1
RMDL/R,RMF,1
RMDV,URAV,1
RMED,URAV,1
RMEV,RMDD,1
RMEV,RMEV,1
RMEV,SMDD,1
RMEV,SMDV,1
RMEV,URAD,1
RMF,AVK,1
RMF,BWM02D,1
RMF,BWM02V,1
RMF,BWM04D,1
RMF,RMDL/R,1
RMF,RMG,1
RMF,RMH,1
RMG,AVE,1
RMG,BWM04D,1
RMG,RMF,1
RMG,SAAD,1
RMG,SIBV,1
RMH,CEPD,1
RMH,IL1L/R,1
RMH,RIC,1
RMH,RMDD,1
RMH,RMDV,1
RMH,RMF,1
SAAD,OLL,1
SAAD,RMG,1
SAAV,RIA,1
SAAV,RMF,1
SDQ,AIB,1
SDQ,AVA,1
SDQ,AVK,1
SDQ,DVA,1
SDQ,SDQ,1
SMBD,BWM07D,1
SMBD,RMDD,1
SMBV,PLN,1
SMBV,RMDV,1
SMDD,BWM01V,1
SMDD,BWM03V,1
SMDD,RMED,1
SMDV,BWM01D,1
SMDV,RMDD,1
SMDV,RMEV,1
URAD,IL1D,1
URAD,RMDD,1
URAD,RMDV,1
URAV,BWM04V,1
URAV,RMDD,1
URAV,RMDV,1
URAV,RMED,1
URAV,SMDD,1
URB,AIM,1
URB,AVB,1
URB,IL2L/R,1
URB,OLL,1
URB,RMEL/R,1
URB,URAD,1
URB,URAV,1
URYD,AVA,1
URYD,AVB,1
URYD,AVD,1
URYD,IL2D,1
URYV,AVA,1
URYV,AVB,1
URYV,AVD,1
URYV,DVC,1
URYV,IL1V,1
URYV,RIA,1
URYV,RIG,1
URYV,SIBV,1
ADA,RIC,-1
ADA,RIP,-1
ADE,ADA,-1
ADE,AVA,-1
ADE,CEPV,-1
ADE,IL1L/R,-1
ADF,OLQV,-1
ADF,RIG,-1
ADF,SIBV,-1
ADF,SMBD,-1
ADL,ASH,-1
ADL,AVA,-1
ADL,SMBV,-1
AIA,ASG,-1
AIA,ASK,-1
AIA,RIF,-1
AIM,ASG,-1
AIM,ASK,-1
AIM,AVF,-1
AIN,CEPV,-1
AIY,AFD,-1
AQR,AVD,-1
AQR,BAG,-1
AQR,PVC,-1
AQR,RIA,-1
AQR,RIR,-1
ASG,AIA,-1
ASG,AIB,-1
ASH,AVE,-1
ASH,AWB,-1
ASH,RIA,-1
ASI,AFD,-1
ASI,AIB,-1
ASI,AIY,-1
AVF,AVB,-1
AVF,AVF,-1
AVH,ADL,-1
AVH,AWB,-1
AVH,RIM,-1
AVH,SMBV,-1
AVJ,RIS,-1
AVK,SAAD,-1
AVK,SAAV,-1
AVM,AVD,-1
AVM,BDU,-1
AWA,ADL,-1
AWB,RIA,-1
AWB,RIG,-1
AWB,SMBV,-1
AWC,ASI,-1
BDU,ALM,-1
BDU,AVM,-1
CEPD,IL1D,-1
CEPD,RIB,-1
CEPD,RIP,-1
CEPD,URAD,-1
CEPD,URYD,-1
CEPV,IL1V,-1
CEPV,OLQV,-1
CEPV,RIP,-1
CEPV,URAV,-1
CEPV,URYV,-1
