pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_tem,adult_sem,dauer_sem_1,dauer_sem_2,dauer_daf2
ADLL,AVBL,0,0,0,0,0,1,0,1,0,0,0
ADLL,AVDL,0,1,1,2,1,1,2,1,1,0,0
ADLL,AVDR,0,0,2,2,8,5,10,15,5,3,4
ADLL,AVEL,0,0,0,0,0,1,1,1,0,0,0
ADLL,AVHR,0,0,0,0,0,0,0,1,0,0,0
ADLL,AVJL,0,1,0,1,2,1,1,1,1,0,0
ADLL,AVJR,0,0,1,0,3,2,5,3,0,0,2
ADLL,AWAL,0,0,0,0,0,0,0,1,1,0,0
ADLL,AWBL,0,0,0,0,0,0,1,1,0,0,0
ADLL,AWCL,2,0,4,2,3,3,4,2,2,1,4
ADLL,AWCR,0,0,1,0,0,3,0,1,0,0,0
ADLL,BDUL,0,0,0,0,0,0,0,0,0,0,1
ADLL,HSNL,0,0,0,0,0,0,1,0,0,0,0
ADLL,HSNR,0,0,0,0,0,0,1,0,0,0,0
ADLL,IL1L,0,0,0,0,0,0,0,0,2,0,0
ADLL,IL2L,0,0,0,0,0,0,0,0,1,0,0
ADLL,OLLL,0,1,0,1,0,0,0,0,1,0,0
ADLL,OLQVL,0,0,0,0,1,0,0,0,0,0,0
ADLL,PVCL,0,0,0,0,0,2,0,1,0,0,1
ADLL,PVPL,0,0,0,0,0,1,0,0,0,0,0
ADLL,PVQL,1,0,0,0,1,0,2,0,0,0,0
ADLL,PVWL,0,0,0,0,0,0,1,0,0,0,0
ADLL,SIADR,0,0,1,0,0,0,0,0,0,0,0
ADLL,SIBDR,0,0,1,0,0,0,1,0,0,0,0
ADLL,SMBVL,0,0,0,0,1,1,1,9,0,0,0
ADLR,ADAR,1,0,1,1,1,1,0,0,2,2,1
ADLR,ADFR,0,0,0,0,0,0,0,0,0,0,1
ADLR,AIAR,3,3,3,4,5,4,9,13,8,6,7
ADLR,AIBL,0,0,0,0,0,0,0,0,0,0,1
ADLR,AIBR,3,1,4,5,8,6,11,12,6,8,7
ADLR,AIMR,0,0,0,0,0,0,0,0,1,1,1
ADLR,AINR,0,0,0,0,0,0,0,0,0,0,1
ADLR,ALA,0,0,0,0,0,0,0,0,1,0,0
ADLR,ASER,1,0,1,0,4,1,5,2,0,2,1
ADLR,ASHR,0,0,1,3,3,1,5,3,0,0,1
ADLR,ASIR,0,0,0,0,0,0,0,0,0,2,1
ADLR,ASKR,3,4,4,3,2,3,0,0,2,0,4
ADLR,AVAL,0,0,0,0,0,0,0,3,0,0,0
ADLR,AVAR,0,0,0,4,0,1,8,11,2,4,0
ADLR,AVBR,0,0,0,0,0,0,2,0,0,0,0
ADLR,AVDL,0,1,0,0,4,1,0,9,3,6,0
ADLR,AVDR,0,0,1,1,1,2,2,1,1,1,0
ADLR,AVER,0,0,0,0,0,0,1,0,0,0,0
ADLR,AVJL,0,0,0,0,2,0,1,0,0,1,0
ADLR,AVJR,0,1,1,1,1,2,1,1,1,1,0
ADLR,AWAR,0,0,0,0,0,0,0,1,0,0,0
ADLR,AWBR,0,0,0,0,0,0,0,1,0,0,0
ADLR,AWCL,0,0,0,0,0,0,0,0,0,0,1
ADLR,AWCR,1,1,0,2,4,2,4,10,3,3,5
ADLR,OLLR,0,1,0,0,0,0,0,0,0,0,0
ADLR,OLQVR,0,0,0,0,1,0,0,2,0,0,0
ADLR,PVCR,0,0,0,0,0,0,0,1,0,0,0
ADLR,PVPR,0,0,0,0,0,0,1,0,0,0,0
ADLR,RIPL,0,0,0,0,0,0,0,0,0,0,2
ADLR,RIR,0,0,0,0,0,0,0,0,0,0,1
ADLR,SIBDL,0,0,0,1,0,0,1,0,0,0,0
ADLR,SMBVR,0,1,0,0,0,0,5,1,1,1,0
ADLR,URBR,0,0,0,0,1,0,0,0,0,0,0
ADLR,URYVR,0,0,0,0,0,0,0,1,0,0,0
AFDL,ADFL,1,0,0,0,0,0,0,0,0,0,1
AFDL,AIAL,0,0,0,0,0,0,0,0,0,1,1
AFDL,AINR,0,0,0,0,0,0,0,1,0,0,0
AFDL,AIYL,3,3,2,6,8,6,12,10,11,10,9
AFDL,AIYR,0,0,1,0,0,0,1,0,1,0,1
AFDL,AIZL,0,0,0,1,1,0,0,1,0,0,0
AFDL,ASEL,0,0,0,0,0,0,0,0,1,0,0
AFDL,ASER,0,0,0,0,1,0,1,1,1,0,2
AFDL,AUAL,0,0,0,0,0,0,0,0,1,0,0
AFDL,AWAL,0,0,0,0,0,0,0,0,0,0,1
AFDL,AWBL,0,0,0,0,0,0,0,1,0,0,0
AFDL,AWCR,0,0,0,0,0,0,0,0,1,0,0
AFDL,BAGR,0,0,0,2,1,0,0,1,0,0,0
AFDL,IL2L,0,0,0,0,0,0,0,0,0,0,1
AFDR,ADFR,0,0,0,0,1,0,0,0,1,0,0
AFDR,AIAR,0,0,0,0,0,0,0,0,0,0,1
AFDR,AIBR,0,0,1,0,0,0,0,0,0,0,0
AFDR,AINL,0,0,0,0,0,0,0,0,0,0,1
AFDR,AIYL,0,0,1,0,0,0,0,0,0,1,1
AFDR,AIYR,3,2,4,5,8,9,14,10,12,10,9
AFDR,ASEL,0,0,0,0,0,1,1,0,0,1,1
AFDR,ASER,0,0,1,0,0,0,0,0,0,1,3
AFDR,AUAR,0,0,0,0,1,0,0,0,0,0,2
AFDR,AWAR,0,0,0,1,0,1,0,0,1,0,3
