pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_sem,dauer_sem_1,dauer_sem_2,dauer_FIB
AWAR,RIBR,43680,0,1800,0,0,0,20640,46400,3600,17560
ASGL,RID,10320,97792,0,0,0,30750,101520,347400,34600,0
BWM-VR04,OLLR,0,0,0,0,3120,0,0,0,0,0
RMDDL,SDQR,0,0,0,10800,33000,0,107040,0,213800,0
RIFR,SIBVR,0,0,0,0,0,0,0,0,0,3120
AVEL,CEPVL,0,0,0,0,0,43591,0,70800,0,0
DVC,RIBR,0,366336,306120,335400,781800,688343,3177120,1327200,2536700,1602880
AFDR,AWCR,200160,200192,188880,186600,536040,427130,1202160,820800,728600,698760
BWM-VL02,RMEV,0,2048,0,4320,10440,0,69360,7300,0,0
SMBDR,SMDVR,0,15872,33720,43680,39240,176394,487680,205400,0,126560
ASJL,SIADR,4800,44032,14880,21360,30120,96307,0,85400,0,101440
AIAL,RICL,1440,4608,0,14040,0,0,0,0,0,3080
OLQDL,RMDR,0,0,0,0,840,0,0,0,0,4240
RMFR,SMBVR,0,0,0,0,13320,0,2014320,562700,0,1408400
BWM-DL01,IL1L,0,0,7800,0,25200,3041,0,32200,0,0
SIBVR,URAVR,20160,27392,21480,8040,88200,61501,38400,70600,81400,77440
RMDDR,RMGR,27720,0,3120,0,0,0,0,0,300,0
IL1DR,RMFR,0,0,0,0,0,19599,0,0,0,0
ASER,SIBVR,0,0,0,0,0,0,33120,0,0,0
AVHL,RIH,0,0,0,0,0,12165,0,63200,199600,0
RIVR,URAVL,0,0,2040,0,0,0,0,0,12800,31440
RMFR,RMGL,0,0,0,0,0,43253,3256320,3640500,3294600,3209320
AVDL,RIMR,14760,49920,35880,205440,32400,77721,573120,292500,329600,281600
BWM-DR08,SMDDL,0,0,0,0,0,0,0,0,10000,0
AVDL,SMBVR,0,67072,86640,0,118560,98672,504480,115400,380000,202320
AVKL,RMFL,0,0,0,0,0,2008596,6261360,1981400,2978000,1182800
ALML,SIBDL,0,3584,0,0,0,0,0,0,0,0
AFDL,AWBL,51960,165632,131400,0,117720,482887,241920,124300,130400,223040
ASIL,URXL,0,0,0,0,0,0,16560,272600,21400,2240
ADAR,FLPL,118320,353536,6840,38280,361320,150712,12480,0,276600,0
RIML,RMFR,0,0,0,0,0,2670243,663360,247800,482200,801880
AQR,IL1VR,0,0,0,0,0,0,0,59300,62200,0
ALML,RMDDR,0,6656,0,0,202560,134154,46080,0,214300,0
BWM-VR05,SIAVR,0,0,0,0,0,0,0,0,12400,0
ADEL,RIS,64200,170496,840,204960,305760,0,55440,0,660600,1340800
ALNL,RMDR,0,0,0,0,99000,380835,14400,232200,53800,534080
RIPL,URXL,9120,0,28200,119760,507240,98672,33840,0,0,346240
RMDVL,RMHR,0,0,0,128520,204120,419358,320400,662400,109400,631440
SAADR,SDQL,0,0,0,0,215280,940769,872880,310700,838200,697200
AVJR,AWBR,0,0,0,0,0,0,0,205800,107000,60520
RMDVR,SIAVR,51840,25344,28680,80280,99000,115906,398880,141400,100400,122480
FLPR,RIVL,0,0,94560,43080,49560,106444,0,141900,311000,399840
RMFR,SIBDR,0,0,0,0,0,0,45600,0,0,0
AVFL,PVWR,0,0,0,0,0,0,0,44600,462300,0
SAAVL,SAAVL,9840,0,0,0,43560,22302,82560,0,0,0
AIYR,AVAR,0,0,0,0,3120,0,0,0,0,0
ADER,SIADL,0,0,0,0,19200,0,117600,0,439100,402000
AIAR,RIAR,0,0,0,0,12360,0,0,0,0,0
AVDL,SMDDR,0,7424,0,0,0,0,1200,77800,8400,0
OLLL,SMDVL,81960,280320,191280,109920,470520,239923,527280,370400,187000,415360
AVDL,SIBDR,25440,47872,88800,61680,75720,92252,1273440,39200,543000,254000
BWM-DR02,RMHR,0,0,0,0,617040,0,0,0,0,0
AIAR,ASEL,232800,329216,162720,189960,234360,569733,432480,277100,405200,198880
RMEV,URYVL,780720,683520,618000,631200,1031760,1767659,691200,535000,219600,351640
SIAVL,SMBDR,0,8960,12960,33480,48480,0,0,0,0,0
AIYL,AVDR,0,50176,0,55560,0,0,68880,0,0,1360
AUAR,DVA,40320,90112,21600,117480,240840,467343,1194000,966900,444400,395360
IL1VL,RICL,38520,45824,3600,49800,124560,78059,179760,105800,0,0
ADER,DVA,164520,0,0,44160,281640,324065,283200,0,392400,367280
ADFR,AVFL,0,0,0,0,9720,0,0,84800,441900,0
ALNR,IL1R,0,0,0,0,0,4055,0,0,59200,0
AIMR,AIZR,7680,28928,25800,11400,42960,116244,376800,910400,688800,870080
ASIR,CEPDR,0,0,16320,0,13440,0,14160,0,0,0
BWM-DL01,RMDVL,69000,138496,87360,113280,196320,262563,403920,211500,246000,461440
IL1DR,RMED,86400,243456,207840,258120,453360,552161,1402560,866300,606100,501560
RIAL,SMBDL,23640,76288,250080,415320,291000,583249,1600800,518000,538200,360360
RIGL,SMDVL,35040,0,8280,25920,11880,50350,0,1200,19300,120
RMDVR,URYVL,172200,345856,373320,404040,811440,1284433,2834880,357000,202600,598720
ALML,URBL,258240,184832,229320,152040,89760,228433,96720,13800,3800,17440
SMDVR,URYDL,3240,0,0,0,0,0,0,0,0,0
SDQL,SIADL,0,0,0,0,0,0,0,88000,248600,0
PVCL,SAAVR,0,0,0,0,0,0,128880,0,0,0
BWM-VL07,BWM-VR07,0,0,0,0,0,0,431280,225400,0,0
RIML,RMED,0,0,66720,0,191640,0,23040,0,347000,44000
RMHR,SIBVL,0,0,0,218040,0,171325,456720,1039800,1157000,1136800
FLPR,SMBVR,0,0,8880,158160,0,0,24960,0,111700,0
BWM-VL04,PVWL,0,0,0,0,0,0,0,264000,0,0
RIAR,SIBVR,37440,109824,75480,84960,226800,406179,469200,277200,504300,310800
SAAVL,SMDDL,232320,551936,220080,435000,231600,538644,1009200,421100,468500,684880
ASIL,OLQVL,0,0,0,0,0,0,0,0,132600,0
OLQVL,URBL,0,61952,132960,97800,228480,143953,409200,172000,461800,357280
BWM-VL04,RMFR,0,0,0,0,0,0,1774800,418000,560200,738320
AVM,BWM-VR06,0,0,0,0,0,0,0,69900,0,0
AIMR,SIBVL,53640,117504,0,110760,0,27033,70800,0,73400,41520
ASKR,IL1R,0,16384,12480,0,0,29399,0,0,0,0
SDQR,SMBVR,0,0,0,21840,0,0,0,0,0,0
URXR,URYVR,78480,317184,196200,80880,544920,305479,609360,72100,152600,180280
AVJL,URBL,0,0,1440,0,0,18247,0,0,19400,184080
BWM-VL02,RMHR,0,0,0,0,0,160512,506640,297800,161100,184000
IL2VL,URAVL,677160,1672192,964920,579000,1715280,1489551,2719200,1849200,2395900,2168640
PVCL,RIS,132840,91392,188400,78240,0,225730,708240,0,322900,215520
RMDVL,SIADR,0,28160,0,0,0,0,362400,235400,256000,160720
AIMR,OLQVR,0,0,0,0,0,0,0,152800,71200,183200
PVR,URBL,0,313600,14040,90960,142440,113541,144720,0,12200,28120
IL1VR,RIH,79200,26368,0,60000,242160,249384,477600,841400,541800,601360
AWCR,SMBDL,0,0,0,0,0,0,0,0,0,34480
AINL,URYVR,0,0,0,14040,49680,7096,0,58100,160000,117520
ALML,AVHR,0,0,21240,0,0,0,0,0,0,0
DVA,PVQR,0,11520,0,0,0,0,0,0,0,0
FLPR,SIBDR,0,0,0,39600,0,0,0,6400,0,0
BWM-VL07,OLLL,0,0,0,0,0,0,720,0,0,0
AVBR,CEPDL,0,0,0,0,0,0,14160,74300,0,112480
AWAR,AWBR,1106040,1530368,1132080,1822920,3495240,3822888,6596880,4431800,4658400,3792600
ASER,OLLR,0,0,0,6000,0,9799,50640,0,0,60520
BWM-VL02,BWM-VL04,990480,2470912,1377120,1384800,4291080,6379929,9292320,6552200,6980200,4737200
SDQR,SMDDR,0,0,0,80040,92160,56094,65760,223300,43200,138400
RICL,SMDVL,19200,333568,148440,101400,169680,325416,519600,273200,289400,336080
AVKL,AVL,671760,1223680,1936200,1595400,5209680,3522816,11397600,3148800,3732800,3855800
SDQR,SIBDR,0,0,0,2040,0,0,1440,0,201200,0
AVJL,HSNR,0,0,0,0,0,0,233040,0,0,0
IL1DL,PVWR,0,0,0,0,0,0,0,0,12800,103440
AVEL,SMDDR,28560,15104,35640,11280,36240,43591,80160,363800,206400,5720
AVAL,AVFL,0,0,0,0,0,0,237360,0,182800,0
BWM-DL02,RMDVR,0,6400,0,9720,0,3041,0,0,59800,800
AVBR,SMBVL,0,144640,162840,135600,123360,285880,952080,0,160000,154240
ADER,SIAVL,0,0,0,0,840,0,0,0,240400,0
RMGR,RMHL,0,0,0,2534760,3200640,3444080,3534720,1479600,1304300,882880
BWM-VL01,BWM-VL04,0,0,0,48600,0,25006,345360,144800,102800,12280
AUAL,URYDL,36600,0,10080,75720,0,16896,63360,79600,47300,67040
BWM-VL03,RIAL,2760,0,0,0,0,0,0,0,0,0
BWM-DR04,RMHR,0,0,0,0,651000,0,0,0,0,0
AVDL,RICL,194640,254208,251400,5640,36480,202076,157920,156700,304000,284800
AVEL,SMDVR,13560,0,35520,0,43080,45957,0,8700,0,0
AVL,URYDR,38040,43008,37680,17520,51960,127733,201840,80000,96000,138080
BWM-DL07,SMDDR,0,0,0,7440,0,87183,274080,0,102200,109920
BWM-DL01,RICR,51840,0,12960,0,0,0,0,0,0,0
BWM-DR06,RIAL,0,0,0,840,6120,45281,0,0,0,0
ADLL,IL2DL,0,24576,0,21840,69720,123002,127920,120900,0,2400
AVAL,RMHR,0,0,0,327480,443040,221675,1515600,56200,99400,693040
ADLR,AVHR,19320,0,24840,10440,60000,205793,346560,0,0,44160
ASKL,OLQDL,5400,0,5400,0,0,0,0,0,51000,16240
IL2R,URYDR,0,0,0,0,0,0,0,0,352100,38640
AINR,SAAVR,0,0,0,0,0,0,0,0,31100,0
PVQR,URADR,0,0,0,0,0,2365,0,0,0,8320
AWAL,AWCR,0,67072,0,3600,0,0,0,190600,317900,702960
AFDR,URYDR,6480,4864,0,0,0,1689,0,0,0,34480
ASHL,SIBVL,112560,36352,117720,0,113160,0,0,0,0,31840
RIBL,RMED,127680,198912,256560,357960,834000,841420,1795920,992600,1666400,878880
RICR,SMDVL,32040,319744,203880,334680,799920,690708,1049520,2146900,66200,1244120
OLQDR,PVWR,0,0,0,0,0,0,0,0,14800,37200
AIYL,AIYR,107880,140288,399120,0,1037160,740044,320880,2104600,1661800,1421760
AWBL,AWBR,140280,224000,69480,106080,195000,142602,88320,83400,270500,77120
AVHR,SMDDL,0,0,0,1920,0,204779,0,8400,203200,0
AVDR,URBR,70440,30464,30720,0,0,132464,215520,15800,384400,123360
AINR,RIS,0,39936,10440,169320,0,0,0,6600,0,0
RIAL,RIFL,0,0,360,0,0,69949,0,107800,0,51360
AIAR,IL1DR,23520,3072,1680,5160,14280,0,0,13200,0,0
AIBL,RIVL,764040,790016,469200,487560,913440,343664,1539600,200000,1079600,883360
AVL,RIVR,314280,1104384,313680,313320,236880,863047,884880,636200,239800,267800
AVL,URADL,0,0,0,0,0,8110,5520,0,0,0
AVHR,AWAL,111360,165376,24360,21000,112440,889067,289680,62700,44600,332440
ADER,PVWR,0,0,0,0,0,0,0,0,4300,29840
ADFL,URXL,546720,706560,518880,923160,830760,1750425,2550240,808000,1317600,1406200
PVPL,SDQL,0,0,0,0,0,126382,0,0,0,0
IL2R,RIVR,13560,79616,51720,10920,69480,144629,63120,257400,280600,355360
ADFR,AIZL,40800,4864,134400,81480,0,53053,54720,0,58200,0
BWM-DL02,RMDVL,99960,250880,129600,106920,215040,295004,412800,207900,289900,291160
BWM-DL07,RMDDL,0,20224,55320,600,360,0,0,0,0,14840
AFDR,RIVR,0,0,5880,0,25920,0,1680,47400,73700,74360
IL1VR,PVCR,0,0,0,0,0,0,0,25700,0,0
RIVR,SMBDL,118440,0,181440,254760,883800,646440,1434720,803000,258200,402400
AIML,PVPL,0,0,0,0,0,0,0,0,30100,0
RIAR,SIADL,47400,46848,0,54000,59160,86507,176880,127200,379600,289520
ADAL,ASHL,989040,1240320,715440,1103880,2016600,2576977,3894240,3951000,2321900,3049880
AVER,RIH,72840,51200,111960,127560,0,126382,272400,283100,79100,364880
AVFL,SAAVR,0,0,0,77520,0,0,0,0,0,40480
AIML,RIR,4920,0,0,0,0,0,0,44500,7600,19000
ASGL,CEPVL,38400,80384,41400,156480,104280,103741,330720,350300,37700,26240
BWM-DL01,RIPL,149760,63232,40200,10680,96840,99010,126960,4400,389100,22320
FLPR,RICL,0,0,0,4080,0,0,0,0,0,0
BWM-VL03,URYVL,0,0,0,19560,25560,90900,286320,0,0,0
OLLL,RMFR,0,0,0,0,0,168960,5760,0,0,0
URBL,URXL,130920,325632,406560,486600,1546680,1324308,2877840,1170200,40800,414960
OLLL,RIGL,314400,440832,337200,366840,810240,784988,1421040,1837800,1618900,1762960
IL1L,SIBVL,65160,0,57000,240,0,0,0,367300,0,155360
ADAR,AVER,48600,66048,30360,11040,113520,26357,201120,92400,148100,51120
CEPVR,RIVL,47520,0,0,16440,0,40212,1200,146800,127800,74640
ADLL,AVAR,0,0,0,0,0,88872,0,96800,0,0
AWAL,RID,0,5120,0,0,0,0,0,0,0,0
BWM-VL05,RMEV,22800,39680,480,93240,0,130099,497760,488200,194700,195840
AIBL,RIMR,847920,2302464,1836840,1484040,4369680,4429793,6158160,2717000,4793200,4356800
AIBL,SMBVR,25920,0,0,0,25200,0,3360,0,0,0
AVAL,SIADR,58680,180224,95280,244440,337560,350423,1892400,467700,908000,577520
AVHR,PVPL,711000,1360640,953640,2096880,2075400,2757089,5846400,2914800,3968800,2021640
ADFL,AIBL,56040,126976,107280,125400,117240,43929,322080,10800,0,0
BWM-VL08,RMDVR,0,0,0,0,0,8110,0,0,0,0
BWM-DR01,IL2DR,23280,0,77160,10680,63960,0,352080,30000,0,37200
SIAVL,URBL,49440,205312,0,63480,263400,113541,745920,0,37200,107440
AIYL,AVKL,0,0,0,0,0,0,132960,0,95400,0
PVQL,RIPR,0,0,0,0,0,0,0,0,0,33200
BWM-VR08,RMHL,0,0,0,5880,9960,0,0,0,0,0
ASEL,URXL,39600,67328,68760,0,0,0,0,0,0,0
IL1L,OLLL,656640,1016832,687000,617040,1264920,2120448,2504400,1748700,2340900,2807160
AVL,BWM-DL06,14520,0,0,0,0,0,0,0,0,0
AQR,URXR,0,0,0,6480,72120,185856,212160,759100,0,281440
RMEL,URBL,0,0,0,0,0,0,720,236000,697400,722800
AVKR,SMBDL,102000,260352,214560,170040,228720,553175,2408880,832600,890500,299840
AIML,AVHL,42000,103936,76320,52920,58800,100024,87360,197200,189800,97760
BWM-VR01,URAVL,0,0,0,0,0,0,0,28900,0,0
AIBL,SMDDR,709680,1088512,659640,1165800,2052360,1733191,3334560,668200,1762500,1394840
AVL,CEPVL,0,0,0,0,0,0,30240,0,0,0
RMER,URYDL,27480,0,0,64440,0,54743,0,0,0,0
ASJL,IL1DL,34320,20992,33240,14640,48000,46295,68880,25400,48600,89440
AIBL,SIBDR,33720,0,118080,4440,127800,413952,0,2500,65400,0
CEPVR,SMBVR,312240,405760,331800,494400,762720,1012746,1577760,2259600,1682200,1286240
AIZL,IL2DL,0,0,0,0,0,0,0,800,16800,238840
AVAR,CEPDL,0,0,17280,0,0,0,0,0,0,0
OLLL,RMED,216960,631296,702120,693960,2255880,1241518,4355040,1795400,1935400,1900800
AVDL,RIBL,2760,0,0,0,0,8448,0,0,73400,0
AIMR,AVJR,26880,27648,15840,38640,103800,147333,138720,336800,189800,225200
RMDR,RMDVR,340560,467712,464160,525240,771480,907315,2276160,1384300,1050000,1262080
AIML,ASIL,0,0,0,132600,102840,0,16080,0,0,3840
ASJL,RMGL,11640,302336,0,148200,13920,347719,104400,0,0,0
PVPR,PVQR,100800,0,0,0,0,0,0,0,0,0
AVJL,URYVR,38880,26112,14760,13920,31680,35819,54960,61000,79800,62960
AIMR,AWCL,480,0,20640,0,0,0,0,80400,67000,0
SMDVR,URYVL,240600,258560,349920,286200,519000,598118,546240,308500,231400,213400
BWM-DL02,IL2DL,0,0,25680,0,0,0,0,0,6800,0
IL2R,RIFR,0,0,0,0,0,0,0,258200,0,256880
BWM-VR04,IL2VR,0,1024,0,0,0,0,0,0,0,0
AIBR,RIR,113280,93440,141840,148800,344760,417331,270960,472000,223900,278320
AFDR,RIFR,0,0,0,0,0,0,0,6100,7100,0
RIMR,SMBVL,0,0,0,0,49200,0,0,0,0,0
BDUL,RIML,0,0,0,0,0,310210,737040,266200,93800,370320
IL2VL,SMBDL,720,0,0,6360,30360,2027,57600,213000,1000,16560
ADAL,RMDVR,31800,7936,103560,0,0,0,0,0,0,0
AUAL,RIAL,325320,610560,520920,807240,1363560,1290516,2589360,1354400,1698400,1606160
AVAR,SMBVL,0,0,0,18960,360,0,0,0,0,0
BWM-DR01,RMDVR,53160,142848,116520,88320,119400,270336,102240,245600,322000,234320
BWM-VR07,SMDVL,0,31488,0,0,0,6082,196800,0,0,50600
DVA,SIAVL,865560,1616640,876000,1902600,2397840,2595563,3032880,3067000,3349800,2587160
AVJL,BDUR,195720,499200,289680,523920,1080120,854261,2407440,908000,993000,197440
RICL,RIGL,0,0,13080,0,0,0,0,0,0,0
ASJL,SIBDR,6840,32256,24720,27120,3000,48322,105600,39200,121000,75440
BAGR,SIBDL,24960,0,3720,65280,0,0,2880,95100,246100,83840
AIYR,RIR,58440,266752,291840,87000,560280,1226649,487680,1991700,1597300,1560680
CEPVR,SIBDR,107760,96000,146400,88080,191880,527493,109440,14900,169000,120760
RIR,RIVR,171720,837632,183840,681000,189240,77721,153360,496600,1014900,247720
PVWR,PVWR,0,0,0,0,0,0,0,0,27300,0
AVBL,RIBR,121320,184064,256800,113760,473640,502487,246960,458400,556600,365600
AVL,IL1VL,0,23040,8520,0,0,337,53040,0,129200,46760
OLLL,SAADL,0,0,0,2640,32160,43591,0,0,0,0
OLQVL,RIAR,0,0,0,0,0,0,0,0,2200,0
AVEL,FLPR,0,7424,82920,128760,31920,25344,592080,0,620900,639360
AIZR,SAADR,72240,5888,0,0,0,0,0,228200,50500,0
IL1DL,RIS,0,0,0,0,55080,14868,106560,141000,5400,325240
AIYL,BAGR,433560,300544,369960,651720,1685280,2564474,3177840,1166600,1031600,2293400
BWM-DR03,CEPDR,56760,221952,34800,65640,347400,375429,127440,243700,213700,358960
ADAR,HSNL,0,0,0,0,0,0,73680,0,0,0
AVKL,URXL,0,0,16440,0,0,0,0,0,0,0
RIGL,SAADL,938400,1193472,993360,1394520,2118120,963747,3323040,291000,674400,699600
AVDR,RIH,150960,0,0,0,0,0,0,0,0,0
IL1DR,IL2DR,512640,940800,982920,568200,2243040,1662566,2790720,2482800,2846600,3121760
RICR,RMFR,0,0,0,0,0,0,101040,94800,0,53120
AFDR,AIYL,0,22016,94440,0,220200,89210,87360,0,330300,162640
RMDR,RMDVL,574560,899072,617160,622080,1177440,1469952,2436000,1220800,1352400,1584320
AIZL,AVAR,94320,0,0,0,60240,0,258720,0,158400,0
AVKR,URAVR,0,0,0,0,0,12503,0,0,0,16160
AIBR,ASIL,0,0,0,0,0,0,100080,0,0,0
RICL,URBR,224760,214272,159960,212640,796320,1663580,1348080,223700,581700,979280
AVHL,URXR,95640,95232,85200,357240,435840,610959,422880,349400,1092000,1014560
ASHL,AVJR,111960,278016,118560,71160,217800,116244,175200,1125600,1301400,1028280
BWM-DL02,RIPL,51360,121088,147600,0,26640,118947,77520,0,212200,0
ASHL,AWCL,0,0,0,0,0,0,3120,0,0,0
ADLR,RIAR,0,0,0,0,0,0,0,29600,10400,0
AVEL,RMER,26880,50688,9480,39240,79560,92928,246960,167800,104000,75440
AUAL,URYVL,9840,37888,37320,64440,10200,0,0,0,34800,45200
AVEL,RIBL,217680,283136,154920,228480,444000,436930,1237920,334400,647200,576560
AINR,OLQDL,39720,6912,9240,19320,39360,54067,158880,86000,110800,107720
BWM-VL02,IL2VL,0,0,47520,0,1320,0,0,17000,0,0
RMFR,SIBVR,0,0,0,0,408600,78397,1435200,0,64400,227720
ALA,ASKL,120720,257024,339120,146640,444000,562636,1383120,3834000,3877100,3562960
AIBL,AINR,138240,228352,34680,327960,394080,96307,446880,225000,215800,270400
OLQDR,RIS,57240,0,41400,26640,247200,33792,88560,173600,0,67280
AUAR,SAAVR,61080,17920,25560,6840,2880,0,0,0,1800,0
AVJR,CEPDL,0,0,0,0,0,0,0,0,46100,0
ADER,SAAVR,0,0,0,15720,126360,310210,742320,0,157000,403160
AIBL,RICL,18720,0,0,0,5760,0,0,86800,0,0
OLQVR,RMHL,0,0,0,0,19440,0,109680,0,0,0
AQR,URAVL,0,0,0,0,42120,0,164640,0,0,0
ADAR,AVJL,29520,173568,211320,258120,242400,408545,1270560,692600,884500,306160
RMDVL,SMBVR,557760,796416,423720,554280,1127040,1323970,2103600,2826800,2358600,2129000
AVDL,SIBVR,28080,36608,19320,30600,18480,0,12240,117200,0,12040
SMBDL,SMDVL,51720,5120,28680,86760,131760,172677,523920,136700,32200,3640
ASGL,SMDVR,0,0,0,4800,0,0,0,0,0,0
RIS,SIAVL,0,0,0,0,0,35143,39360,0,0,0
AUAL,RIBR,0,149760,103200,201000,150600,0,92640,92300,0,0
PVWL,RMHR,0,0,0,0,0,0,0,37800,0,0
RIAL,RMEV,0,256,0,36840,1920,0,0,0,3900,0
BWM-VL01,IL2VL,0,123392,142800,1560,68880,0,11040,45800,90800,35600
RMDVL,RMGL,363840,431872,687000,334440,1130040,1144197,1407360,552000,609200,1320280
RIGR,SMBVL,56760,48640,0,0,0,21288,0,208000,2500,21640
AUAR,RIS,32880,137728,202080,0,9000,0,50640,209400,0,243680
AVJR,SMBVL,84720,140288,142560,102000,364680,183828,200160,207600,177200,25920
IL1DR,RMDVR,991320,2006272,1628760,2290200,3930000,5146521,7344240,5615400,5123000,5378640
RMHR,SMBDL,0,0,0,91080,720,234178,0,0,300100,147600
ADER,RIS,111720,0,0,0,121680,0,0,227800,22400,0
RICR,URBR,264360,420864,511320,456840,910200,1486848,2121360,1101200,474200,184680
ADLL,SAAVL,44880,0,0,3360,120,12840,14160,13900,63600,52080
RICL,SAADL,6000,20736,24120,6000,0,166256,79200,3800,2000,188160
AVM,FLPL,0,0,0,0,461040,237895,1585680,251000,274200,235520
RIML,RMDVR,0,0,0,600,840,0,0,0,0,0
IL1R,RIFR,105600,121344,53880,14760,31440,4730,0,0,58400,0
CEPVR,RICL,327600,439296,211920,114600,736080,956989,1374960,123200,823200,912880
AVFL,OLQDL,0,0,0,0,24960,0,9600,0,61600,65960
RMDVL,SIBDR,48720,205568,178680,291480,426360,293652,1354320,317000,665000,311440
PLNR,SMBDR,0,0,0,0,0,0,63600,0,143800,0
AVL,SMDDR,240,19712,0,0,106320,0,31680,0,0,30160
AWBR,AWCR,150960,176896,167280,150000,345480,432875,336480,43700,150600,451360
AVAR,AVDR,318360,195840,264720,418920,487440,204441,1608240,149000,750100,294160
AVFL,SAADR,0,0,0,0,0,0,125760,0,0,0
ASGR,AWBR,0,7936,0,0,0,0,0,0,0,0
OLQDL,RIVR,0,0,0,17400,0,0,0,0,0,0
OLQDL,URADL,200520,353280,385200,336000,779160,414965,513840,492400,704000,1372960
AIYL,FLPL,0,0,0,0,0,35143,0,35700,0,0
AVL,SMDVR,105720,178688,133560,290040,235680,418007,919440,330700,203400,289280
ASKL,OLLL,17280,0,0,2040,27120,39536,88320,0,0,0
AVAL,IL2VL,0,0,0,0,0,0,0,0,0,19480
ADAR,RIPR,0,0,46200,164760,0,521072,422400,12800,358200,242160
AVDR,PVCR,125040,0,0,253080,5160,265605,461760,191600,119300,133320
SIADL,SMBDR,600,0,0,0,0,0,0,0,0,0
RMED,URXR,0,7424,0,0,0,0,0,0,0,0
IL2R,SMDVR,0,9216,69960,31320,36240,102051,200880,236600,10600,0
RIMR,RMDR,32400,564992,5160,0,1140480,1717647,1830720,1846900,804200,1385680
RICR,SAADL,22560,192768,53520,72240,480,21288,0,26200,222800,9240
AFDR,SMDVR,0,0,0,0,0,0,0,0,4000,0
CEPDL,SMDVL,0,12288,38760,0,0,0,0,0,0,0
AVBL,AWBR,42360,15104,1800,0,0,0,0,0,0,0
BWM-DL03,CEPDL,45000,18432,147720,73920,330600,144291,507360,195000,291100,605000
ADAL,RICR,541920,843008,485640,379320,688320,75018,2025360,4030200,1580000,1696400
BWM-DL05,SMDDL,0,26624,12840,0,0,26695,266400,9600,83000,64240
BWM-VL02,RMGL,0,7680,14640,42960,7440,153415,0,6600,18500,164560
RMEL,URYVR,0,70144,79200,0,25560,0,101280,0,0,0
BDUL,PVCL,64200,427264,50400,12480,87480,61839,0,39400,0,0
BWM-DR04,RIVL,720,0,0,0,0,0,0,0,0,0
SDQR,SIBVR,0,0,0,7320,0,175380,406320,329600,497500,62240
BWM-VL01,SMBVR,0,0,0,0,0,0,0,0,0,240
ASJR,IL1DR,28560,67328,9720,33960,23640,46295,4560,35400,18700,10720
ASER,SAAVR,0,0,0,18600,0,0,0,0,0,0
AVEL,SIBVR,0,2816,34920,0,346680,93603,315360,0,36200,13280
AVAL,RIVL,335640,455936,247800,386160,780480,421048,1109040,922600,459600,526480
RIML,RMDVL,0,0,0,0,0,0,0,0,26400,0
AIAR,AVDR,0,0,0,0,0,0,0,0,0,30960
BWM-VL04,RMDVR,368760,1027584,658560,574080,1286400,1693317,2389920,1497300,1905600,697680
ADEL,OLLL,0,0,0,49200,155880,882647,86160,0,0,240
IL1VL,PVR,87960,103936,34440,88920,216600,0,549600,0,634500,314960
CEPVL,SMBVL,295200,360960,443400,683400,599880,1210091,2391600,1736800,1348300,2259600
RMHR,URAVR,0,0,0,0,0,43253,86880,0,3400,800
RMER,URYVL,7440,2560,0,0,13800,9799,165360,0,0,0
AWCL,RMFR,0,0,0,0,0,0,0,0,13400,0
DVC,SMBVL,0,0,12120,0,0,68259,0,0,0,50160
ADLL,PVPL,0,512,53760,1200,28920,365967,0,0,0,0
BWM-DL07,SIBVR,0,0,0,0,0,44943,0,0,0,0
AIBR,RMFL,0,0,0,0,0,169297,4047600,1303200,1762200,1501200
ALA,URBR,0,6912,45480,6600,3120,16220,82320,61000,78100,110320
AVDL,OLLR,0,0,0,0,0,0,0,0,50400,0
AIBL,RIBL,0,0,27840,0,0,46632,71520,0,0,0
ADLL,RIR,0,0,0,0,0,0,86160,0,0,0
AIAL,ASKL,1039080,1988352,1403040,2604960,3855600,5018112,7999920,3830600,3629800,3438160
AFDL,AWBR,2640,0,0,0,0,0,0,0,0,0
BDUR,RMDR,36480,0,0,0,0,0,0,0,0,0
AVKL,SIAVR,0,119552,159000,41400,64440,0,52800,285200,955400,160
ADLR,IL1DR,24600,37120,17640,36360,51960,117258,101040,150000,109600,26480
IL1DL,OLQDL,802200,1520384,1230840,1014960,2510640,3370752,3072240,2822600,2727600,3421520
ADAR,AVAL,654480,811264,750840,620880,1220400,1809561,2934960,635600,1479600,1108640
ADAL,RIPL,0,0,0,72480,680760,286894,1200480,0,455800,17280
AIZL,SAAVL,90480,0,0,0,0,0,0,0,0,5200
BDUL,SMBDR,0,0,0,0,0,0,93840,0,0,0
PLNL,PVT,0,0,0,0,0,0,0,0,0,43040
PVR,SDQL,0,0,0,0,261960,0,1030320,0,0,0
RIVL,URADR,0,85504,0,0,17280,0,0,0,0,0
BWM-DR02,RMGR,0,0,0,0,0,0,0,31400,22400,800
RMHL,SDQL,0,0,0,0,0,2027,149520,400,2500,6040
AVAL,RMGL,21360,5632,3360,207360,147360,234178,1605360,122200,0,307520
RIVR,RMEV,26880,0,0,126480,204120,0,300240,0,510800,13920
AFDR,AINR,145920,320256,135600,66000,498000,2604011,1850400,333000,1386000,696320
BWM-VR04,IL1VR,0,0,0,360,0,0,48480,0,0,1440
CEPVR,RMER,39240,0,0,0,0,0,0,0,0,0
