pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_sem,dauer_sem_1,dauer_sem_2,dauer_FIB
ADAL,AVAR,457680,1108480,672240,808560,1069320,1575383,3783600,1695000,1746500,987760
AVDL,SIADL,0,33792,0,0,0,0,0,0,0,0
RIH,RIPR,745320,731392,1139040,1464600,1364760,1822064,6494400,2142000,1927200,2619120
AVAL,RIMR,719760,957952,1021320,732720,2356080,2462760,5259360,3192400,2478000,2688920
AVAL,SMBVR,0,0,0,10920,0,0,52560,0,0,0
AVBL,RIAR,0,0,2400,1200,0,0,162960,0,0,0
AIAR,BDUL,0,0,0,0,0,0,0,31200,0,0
AVAR,DVC,258600,251904,340200,137160,1279080,1281730,2400000,234800,1220400,1044320
BWM-DR03,IL2DR,7320,0,0,4560,44040,0,3840,0,0,0
BWM-VL01,SMDVR,12960,19968,87240,35280,28800,82452,20160,148600,30400,48640
BWM-VL06,CEPDL,0,0,0,85560,0,0,0,0,0,0
SIADR,SMBVR,37560,0,33840,203040,209520,0,1650480,0,218800,55160
AVBR,CEPDR,0,0,0,0,0,0,0,0,74000,131800
ASIR,AVAR,0,59392,0,0,0,191938,0,1125600,15600,0
AINL,SMDVL,0,0,0,0,0,123340,135840,0,0,0
AVFR,IL1L,0,0,0,0,0,18247,0,0,0,0
AUAL,AWBR,0,0,71640,0,0,0,0,38400,8400,0
BWM-VL02,RMDDL,116280,233984,169680,91440,255000,296693,180240,282200,423000,288000
AVDL,DVA,526680,764160,425040,732240,1186560,727541,1516560,1132000,1223700,1331280
ASJL,RIBL,31560,15616,31680,18960,27480,230799,0,44400,65300,94160
RIBR,RMFR,0,0,0,0,0,257157,3840,6700,10800,1200
AVKL,URYVL,5760,17920,0,114600,4320,62177,0,236300,380400,152800
BWM-VL06,SMBVL,166080,32768,65520,101760,0,114216,591120,339900,125800,356480
AVBR,BAGR,186240,289536,238320,287520,296640,0,793440,464500,827000,248960
AQR,RIGR,0,0,0,224280,305760,637992,421440,430300,137900,475960
ASHL,AUAR,0,0,0,0,0,9123,0,0,0,0
BWM-DR05,RIAL,0,0,0,0,0,10475,0,0,0,0
AVER,SIBVL,8280,174592,20880,141480,6360,149698,463200,33200,281600,247960
AVAL,SMDDR,612240,995584,1034760,699120,2185080,1993052,2756160,1464200,1667700,1648160
DVA,URYDL,45720,85504,0,39000,43440,83128,10320,251800,358000,41120
BWM-VR01,URAVR,578880,1007616,1030680,705240,1125120,2251898,2053920,1908800,1771600,2681760
PLNL,SMBVL,0,0,0,0,0,0,3448080,4613400,4766800,3107680
AIML,ASER,0,0,0,0,0,0,0,7800,0,14400
AVJL,BAGL,0,0,0,0,0,0,0,4200,0,0
SIADR,SMDDR,258600,1169664,624000,431760,2190360,1282068,1846800,792000,2107400,1160240
ALNL,RMDVL,0,0,0,0,0,0,25680,92300,7200,0
PVPL,PVWL,0,0,0,0,0,0,15120,0,0,0
SIADR,SIBDR,641040,768000,633840,590400,1348320,2350571,3358320,1772600,2432800,1626800
AIZR,SIBVL,13200,157952,0,9480,17400,30074,510240,0,119100,0
ADFL,AWBR,0,58112,19080,146520,63000,33454,167760,400,0,0
ASER,OLQVL,0,0,0,0,0,0,0,0,285800,0
RIAL,SIADR,55680,32512,19560,54120,47400,34467,281280,378800,550400,130560
AVKL,RIBR,20040,0,11640,0,39000,0,0,0,0,0
RIAR,RIS,13920,0,65400,6480,91680,0,0,0,142200,170000
PVCR,RIPR,0,0,0,0,0,0,0,0,15600,0
AVAL,SMDVR,46920,136704,146040,176400,107040,296017,874320,317000,376600,630800
AIZR,OLQVR,30960,0,0,6240,0,0,0,0,0,0
BAGL,RMDVL,79800,0,0,2160,0,50688,177120,17000,61000,204160
BWM-DR03,RMDVR,37800,16384,18480,4560,10560,125368,0,47400,23200,74480
AIZL,RIGR,3120,128000,40560,0,18840,332175,170400,426900,56400,280960
BWM-VL05,CEPVL,186360,0,192840,453600,532080,839393,1846560,767700,453200,709760
AIAR,PVWL,0,0,0,0,0,0,7920,0,23400,0
PVPL,RIGL,113160,142592,42360,158400,990480,107796,953040,957400,1447000,911120
SIADR,SMDVR,281280,780800,345240,669960,1666560,1377024,1891200,1260800,1555000,1669520
ADFR,AINR,0,0,1560,0,0,249047,0,0,0,0
AQR,SMBDL,0,0,0,0,380640,0,155520,0,0,0
AIAR,RMFR,0,0,0,0,36840,0,0,0,0,0
SIADL,SIBDL,423480,775936,556680,552120,2304600,2060636,2092800,986800,2824400,1737840
BWM-VR05,SMBVL,0,39680,0,0,0,0,0,0,0,0
ADFR,RICL,0,0,0,0,0,116582,469440,0,0,0
ASEL,IL1R,0,0,8760,68760,39720,8448,182160,0,124000,6280
BWM-DR04,RMDDL,137520,710144,598680,272280,1853520,2602659,2469120,1185300,1043400,1146400
PVT,URYDL,53640,136448,53880,59160,80640,138547,184080,102400,20800,68560
AIBR,RIML,1150920,2302720,1679880,1561560,3484800,3808696,5404320,3772400,3739500,4959520
ALNR,AVDR,0,0,0,0,0,0,0,0,0,12080
SDQR,SIADL,0,0,0,134160,131160,157808,546240,26000,984100,404200
RIBR,RMED,257160,402944,300120,632280,1566720,975912,1842240,761800,1146800,1525520
RMFL,RMFL,0,0,0,0,14520,0,16080,0,0,0
RIVL,RMDL,252600,0,389520,457920,122640,1630126,1375920,1758000,1466600,1533720
AVAL,RMDDL,153960,125184,13680,2640,0,21288,0,0,0,0
IL2DL,OLQDL,354000,879360,686280,457560,1531800,1431091,1882800,1612600,1786400,1449800
AVDR,IL2L,0,0,0,0,0,0,0,18000,1000,0
ADLL,RIFL,0,0,0,0,0,109486,421440,87800,0,0
ADAR,BWM-VR08,0,0,0,0,0,2365,0,0,0,0
IL2VL,RMEV,199680,291584,188280,284400,321120,511610,581520,421200,251700,349920
ADAR,RIR,0,0,27240,600,0,41902,0,52500,0,7240
AINL,ASKL,199320,139264,29880,84120,4440,0,303360,224000,4200,377880
ASKR,AVDR,0,0,0,0,0,9123,139920,0,16700,8400
RIMR,RMHL,0,0,0,18360,14400,0,180720,0,0,0
AQR,AVKR,0,0,0,9360,343080,182138,106320,318600,209400,310960
