pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_sem,dauer_sem_1,dauer_sem_2,dauer_FIB
BWM06D,SDQ,0,0,0,9720,0,0,0,0,0,0
DVA,DVC,0,0,6480,0,480,0,0,66200,4000,43840
HSN,SMBV,0,0,0,0,0,0,385920,0,0,0
RMDL/R,URX,0,0,0,4440,8280,67584,24480,1600,48800,46240
ADA,AWB,117720,281344,196800,138360,237840,290272,441120,1361600,1271600,581000
OLL,SAAV,0,16640,70920,92520,10200,56093,168720,81500,239400,84160
AVD,AVJ,886920,1398784,1340880,1582920,4409520,4387890,8186400,3946800,6665400,4933240
ADA,SAAV,750600,659200,703680,429600,247800,300410,1297680,866400,561300,709840
AVE,URYD,433680,1440512,1208280,994440,1999440,2114701,4278000,1261100,1735800,1602200
SMBV,URB,68520,98304,233040,241200,241920,626165,830400,516900,363100,245200
RIG,SIBD,47400,37376,0,0,0,0,0,0,0,217160
ADL,RIA,0,0,0,0,0,0,0,29600,20400,320
ASH,ASJ,146880,19456,5520,10440,0,97658,108000,0,33600,0
PVW,SMBD,0,0,0,0,0,0,0,0,182900,212440
AVM,RIG,0,0,0,0,0,318995,0,0,0,0
PVC,URB,0,37376,40920,12360,162600,425777,181200,16300,0,204640
AIM,AIM,98040,196352,48840,137760,173280,190924,366240,160700,151800,131760
RMEV,SAAD,0,0,0,0,144960,0,0,0,0,0
SDQ,SIBV,0,0,0,498240,2797440,1232393,1379760,416400,1130000,739360
AIY,AVJ,869520,869120,620640,455400,1581840,1354045,1339200,870600,1494000,933520
AVL,URX,15360,9984,37560,0,5280,0,3600,0,0,0
RIB,URYD,487680,826624,661560,691200,1247880,2575287,4699680,2056700,2190000,1942040
AQR,RIV,0,0,0,15480,103200,65555,185280,0,106800,39120
AIM,RIG,0,0,0,0,6840,0,237840,0,230200,0
RIA,SMDD,3247080,4874496,5549400,4656720,10761720,13092709,19431840,13851400,13430600,14574560
ASJ,BDU,0,0,0,0,0,0,29280,20000,14900,84000
ADA,SMBV,189360,314624,265440,185160,474840,375428,839280,469600,300200,434160
RMDD,URX,720,0,0,7320,44280,0,0,47800,0,0
DVC,RMH,0,0,0,0,48840,0,0,0,0,0
RIH,URAD,38520,39680,35640,68400,307800,418006,1315680,584200,645800,273440
BAG,URYV,394560,246528,245280,135720,162600,37171,206400,6900,114800,69880
IL1L/R,SIAD,0,0,33240,0,0,0,0,0,0,16400
CEPV,URB,361320,860416,861720,998760,2222280,3505919,3288240,1766600,796400,1269360
BWM04V,BWM07V,0,0,0,0,413640,0,0,0,0,0
DVA,SIAV,1637040,2957056,2263800,2907120,5361240,4641330,6806160,5655700,6632000,5616520
AIY,RIA,1069680,1608448,954720,1177560,3761160,4227378,3148800,5262100,4757500,4124080
BWM03D,BWM07D,42000,207104,248280,378360,290400,526141,1136400,5200,34400,43000
IL2D,URAD,1192920,2589184,2256360,1708320,3730560,3699210,4401360,5079200,4101600,5373480
AIB,AVK,1387680,2502656,1644720,1594800,2450160,4784946,7386720,4599000,7361100,3702360
AVH,RMDV,0,0,0,0,0,0,0,137800,0,0
RIP,SIBV,7680,20992,79920,30600,274320,7772,285360,409600,0,0
DVA,HSN,0,0,0,0,0,0,230640,0,0,0
AUA,AWA,360,0,0,1920,59280,2027,203040,0,0,70080
AVB,URYD,56280,70400,67200,63960,81960,269321,446400,1064600,593200,444360
ASH,SMDV,0,0,0,480,131040,0,0,0,400,0
ASE,DVC,0,0,0,0,0,0,16080,0,0,0
BWM06V,CEPD,0,0,0,85560,0,0,0,0,21800,0
ASH,AVE,27960,9984,68880,55560,293160,223027,150000,65300,124600,81760
PVR,SDQ,0,0,0,493800,2911560,17571,2417280,172200,203200,725840
AVM,SIBD,0,0,0,50160,95760,43929,0,0,0,0
ALM,RIF,205680,533248,333360,940920,999360,1069515,1535520,363300,53600,265880
PVC,SAAV,0,0,45240,0,0,243639,373680,37400,0,308800
DVA,RMEV,5040,0,88680,0,209640,244992,222480,72400,28200,0
BWM01D,BWM07D,104160,226560,145440,23040,0,16220,16320,45600,0,0
AQR,SAAD,0,0,0,0,0,0,91200,0,251400,0
PVW,RIM,0,0,0,0,0,0,742320,203200,382500,868960
AIM,SIBD,50640,82688,58080,157440,165840,325416,273360,227400,583200,343840
IL2L/R,RID,0,0,0,0,0,0,4560,0,0,0
RMED,URAD,162480,375808,370560,229680,672480,1182043,852000,3103300,2932200,1906160
IL1L/R,RMG,173040,85760,56640,16800,133920,395365,527040,533900,113400,300360
RMF,URYV,0,0,0,0,0,567704,392880,278700,378400,198080
AIA,IL1D,34560,3072,1680,5160,20280,0,0,13200,0,0
AIB,SMBD,552840,576512,880440,268800,1565880,1051268,1653600,1096100,473200,880120
SMBV,SMBV,21240,220672,102120,3720,56760,740044,265200,71200,285400,254200
AIM,AVM,0,0,0,0,153480,0,9360,0,0,0
AVB,IL1D,0,0,0,0,0,0,74880,0,0,12240
BWM01V,RMH,0,0,0,0,0,0,0,0,0,58080
AIB,RMDD,0,0,0,13440,0,0,0,0,0,0
OLQV,PVT,108120,124160,78480,102840,660000,464977,246960,933200,543200,774240
AIM,AIZ,7680,73472,60960,44760,173640,165580,1049280,2089400,1350500,1589920
BDU,URX,0,84992,0,0,73080,0,260400,0,73800,0
PVT,SIAV,0,0,0,0,242640,0,2400,0,0,0
PVC,SMBV,260040,95232,61920,25920,69360,186193,410400,11000,153200,0
BDU,BWM01D,5400,0,0,91080,0,0,0,0,0,0
BWM04D,RIA,0,0,0,960,11640,0,3120,0,0,92960
BWM01V,BWM03V,4069680,3912960,4921680,5191800,10521960,8272956,21714960,15172800,13961900,13209280
ALN,BWM06D,0,0,0,0,0,5068,17280,7400,0,45280
RIH,SIBV,126000,387072,437400,0,12240,276755,111840,40700,19500,107800
CEPD,RIA,746400,1664512,1579920,1130040,2503680,2258994,3995280,2141600,2334000,2782480
AFD,AVJ,0,0,0,0,0,0,0,0,0,18880
BAG,CEPD,18000,89600,0,960,0,118272,4560,0,0,80
RMDL/R,RMDL/R,1193040,1390080,1581360,2035920,3297480,4121948,6372720,4629600,5087600,5014600
RMDV,SDQ,0,0,0,12960,162600,625489,621120,1562400,1813900,857960
ASK,AVH,1680,0,0,0,0,47645,315360,0,0,0
AVF,AWA,0,0,0,0,2515920,2544873,554400,1870000,1592900,1427240
ASE,SIAV,1200,0,0,0,0,0,0,0,0,0
BWM06V,RMDD,0,0,0,0,0,0,14880,0,500,0
ALM,ASJ,33000,96000,20640,0,104280,66231,432960,7400,9900,69520
AIB,AVF,0,0,0,0,48600,0,0,0,0,0
AWB,IL1D,0,0,0,2160,23280,0,0,0,0,0
IL2D,PVW,0,0,0,0,0,0,76800,361900,586900,484440
ADL,ALM,36840,0,1440,93360,9000,11489,4560,0,0,8160
CEPV,SMBV,607440,766720,775200,1177800,1362600,2222837,3969360,3996400,3030500,3545840
IL2D,SIBV,22800,43008,101640,6120,0,0,0,159000,92800,40720
BWM07D,BWM08D,0,0,0,0,0,0,0,53600,0,0
IL1D,SMBD,78840,2048,91920,18600,2760,0,0,858800,570500,757080
PVT,RMEV,248400,511744,391320,386880,1225680,1866670,361200,1966100,1112800,918320
ASK,RIB,0,0,0,0,3720,0,0,0,1000,0
AIA,RID,32880,4352,0,0,0,0,0,0,465000,149760
IL1D,RMDD,41760,21248,95760,31920,214920,277769,341040,325500,599100,837920
AFD,RIA,5160,7936,40920,2280,34680,57783,28320,2300,22000,2200
AIN,RIH,111840,5376,81480,6000,187320,262901,319200,442400,322000,196480
AVJ,IL1L/R,32160,0,0,0,0,0,0,0,0,17880
AVL,RMDL/R,31080,0,50640,0,194160,56432,240960,0,32200,159560
BWM02V,URB,680400,432384,61320,47520,0,0,0,0,0,0
RID,RIM,55440,91904,14520,39360,45000,71639,406080,11400,24800,28320
RMDD,RMDL/R,1745880,2802432,2035080,1893240,3137640,3671499,4779360,4280600,3649800,3598640
AQR,OLQD,0,0,0,0,720,0,0,0,0,0
ASG,RIC,90480,65280,30120,360840,405960,47984,1314720,143000,516000,172720
RMG,SMBD,119400,421376,369240,225960,194040,278106,2730480,282300,862000,839520
AVA,RIP,0,0,0,0,31440,0,29280,60100,79100,0
BAG,SMBD,13680,0,0,0,0,23654,0,0,0,5040
BWM06V,RMH,0,0,0,173400,46200,28723,0,0,120900,0
AUA,DVC,0,0,0,2160,0,0,0,6600,19300,265040
IL2V,RIH,704640,1508608,1171080,1138200,2017080,3086561,3497040,1401700,1307300,3950520
AIZ,IL2D,0,0,0,1440,0,23654,0,229200,16800,273800
AVE,RIH,72840,51200,111960,992760,0,191938,515040,299900,128300,433720
AIA,RIS,17400,0,12720,64920,260880,285542,608400,0,241900,9520
AIB,RIM,2387160,5039872,4093200,3895200,8360280,9429318,12653040,7683300,9037500,9878320
IL1V,IL2L/R,0,0,3240,195840,101400,86844,411840,231800,321500,3560
RMDL/R,RMDV,1636080,2440960,2322600,2232600,3925680,5152941,8743440,4947500,4684700,5602640
RMED,SIBV,0,6144,0,0,0,6082,0,0,0,0
BWM03D,RMEV,36960,67072,186840,213000,604920,1191505,2132640,462400,638200,256960
AVB,RIS,79080,247552,312600,441600,1624800,888729,2800320,450000,1233400,1580280
BWM07V,OLQV,0,0,0,0,1200,0,0,0,0,0
IL2V,RIG,54960,115200,56520,71160,73920,105768,221760,746200,1315800,1478320
AVA,IL2D,0,256,46320,0,80880,0,271440,763500,675700,479840
RIA,RIB,1804080,2273792,1760280,1233120,2795040,4104375,4102080,4267600,3964200,4665360
RIS,SIAV,0,195840,44400,130320,135360,106782,383040,0,112700,69760
RIF,URYD,0,0,0,480,0,0,0,0,39800,5600
AIB,ALA,0,54272,0,0,12120,3041,0,0,0,0
SIBD,URYV,54720,107776,117000,127800,391440,569394,508560,258600,215300,194320
AIA,ASE,1163400,1541120,852000,1314840,2931000,2997011,3474960,3009900,4169900,2385000
BWM08D,RMG,0,23808,49080,34200,1443720,2052187,2573040,2010000,2969200,2693720
ALM,SMDV,17400,15616,0,8640,720,0,0,0,0,0
RIM,RIP,0,0,0,0,0,0,0,0,120100,0
ADE,AVJ,3120,0,0,146520,306000,122326,371040,61400,228500,47200
ALM,RMF,0,0,0,0,0,0,96960,8500,40400,0
ALM,AVE,111480,206336,106320,195480,322320,169635,208800,242000,293100,425760
PVW,RIF,0,0,0,0,0,0,4045680,3760300,3707100,4706000
RIB,RIG,204960,325888,420000,305640,607920,620758,2016720,520400,604500,578320
AIY,PVW,0,0,0,0,0,0,47040,0,0,0
RMDD,RMDV,5280120,9879552,8405520,8520120,16393080,21014230,31380240,20461300,21787800,21330560
RIR,URX,998040,1721856,1647720,2107560,3313560,4338554,10221600,2346500,3379800,3275160
BAG,RMH,0,0,0,0,0,0,0,269200,0,0
IL1D,RIM,0,0,0,0,17040,0,0,0,0,0
RIS,RMEV,1319760,1484032,1314240,1754640,2617200,3355883,5984400,3667700,3434800,3996360
RMF,SMBD,0,0,0,0,1407600,1009704,1983360,112700,151700,778080
AIN,BWM06D,0,0,0,28200,0,0,0,0,0,0
IL2L/R,OLL,1372320,2206976,1575240,1723920,3744840,4256102,3871920,4032100,4836000,4699160
IL2L/R,SMDD,16680,1024,0,7080,0,0,0,0,0,11320
ADE,RIA,0,0,0,7080,437760,470722,765120,202000,89900,308120
ASK,SIAD,0,28416,0,0,37440,42577,45360,0,0,1000
RIC,SIAV,1064040,1933568,1347600,1417200,3847200,2734785,5144880,7663900,3600700,4350560
AIB,PVT,294120,707328,915000,782760,1197000,1364520,5113920,1686400,2099000,1484560
BWM06D,RIM,38760,0,163680,194520,877080,471398,750000,441400,508800,643120
RIV,RMH,0,0,0,1365360,2441040,3022355,3889200,2118100,1645800,1807720
DVA,OLQV,48840,43520,39360,78960,196200,142602,263040,31600,153000,91560
BDU,RMDL/R,36480,0,0,4920,0,0,0,0,0,0
RMH,SIAD,0,0,0,222120,522960,230798,1056720,87600,412900,157760
PVR,SMBD,0,42240,6120,0,7320,0,0,97600,21400,43680
DVA,IL2V,55200,49152,35760,115920,43920,36495,44400,402800,417000,220760
IL1L/R,URX,196560,300800,235800,259920,775080,922521,314880,1745700,506400,590320
AWA,BDU,0,0,0,0,0,0,0,382800,356300,126000
IL2V,SIBD,50880,50688,33480,24000,86760,86506,162000,59200,208500,237120
AVB,RIG,421920,364800,433080,170400,472320,1979197,2289840,1009700,2211800,3305120
BWM02V,SMBV,36720,130816,113880,52800,257160,361912,158640,276200,78400,145600
ALM,PVR,1042920,2792448,1883640,895680,3644520,2285352,2732400,1833100,2258500,2210680
PVQ,RIH,0,0,0,0,0,0,0,0,47400,0
PVR,RMDD,0,0,2400,0,0,0,0,0,0,40360
AIA,PVC,0,43520,0,0,0,0,10800,0,0,0
BWM02D,RMF,0,0,0,0,0,0,1126560,763900,1073600,663200
ADA,AVA,1650480,2582528,1909080,2222760,3385080,4699790,9567360,4740900,7124700,5278840
ADA,IL1L/R,0,0,0,0,0,0,0,0,9600,0
RIC,RMEV,0,0,0,0,136560,97320,0,148300,0,0
AUA,RMEV,129360,152832,132000,73560,480480,36157,195360,346100,490400,489640
RIA,SIAD,254760,433408,607320,796080,1597440,1094521,4133280,2038900,3972000,3471320
RIH,RIV,301440,774656,1228680,0,630000,2881781,2112960,0,0,0
RID,RIF,63000,0,0,7800,0,0,0,64800,0,32320
AIY,CEPV,5040,0,0,0,0,0,0,41800,77800,0
BWM03V,SMBV,248880,217088,151680,210000,568440,630558,953760,1061000,783700,1151200
RMF,RMH,0,0,0,0,1424280,1612553,8999040,8399600,6477900,6561920
RIB,SIBD,363600,480512,358800,298200,1020120,1147913,2324160,1164800,1236200,1224800
AIA,AVB,0,0,6000,0,42960,0,615840,0,36200,4360
PLN,RID,0,0,0,0,0,0,98880,36500,304500,3520
AVH,URYV,62760,193792,100680,150240,146040,153415,184560,174700,143100,142760
IL1D,PVT,56280,48384,17760,47880,60840,108472,120000,136200,98800,56080
BWM04D,SIBV,63120,49920,108720,107760,84720,160849,131280,224800,211900,166720
IL2D,RIV,0,81920,0,39480,0,0,0,497500,672100,629280
AIA,OLL,0,0,0,0,2640,0,0,0,0,0
AWB,RIG,0,0,0,0,251640,140574,322080,0,0,0
AVK,BDU,0,0,0,0,0,0,804000,0,0,0
CEPD,SIBV,153480,353536,288360,468720,376320,350084,1855200,135000,488600,221480
AVM,RIP,0,0,0,0,0,0,0,133500,0,1040
RMDV,SMBD,59880,14080,55920,4080,903480,122326,10800,173800,101300,378040
SIAV,SMDD,30960,203520,33240,49320,54480,71636,119520,142000,134300,101520
IL1L/R,URAD,111480,238592,156840,519840,271920,461936,1302720,144300,0,356000
DVC,URB,0,0,1560,0,57240,42577,32880,0,0,0
PLN,RIS,0,0,0,0,0,0,124080,175400,348000,3760
RIF,RIS,0,0,0,0,47520,311223,2880,0,0,0
AIB,PVQ,230040,450560,405240,24120,386640,254790,141120,0,0,6080
AIM,RIP,0,0,0,0,0,0,0,92500,264800,136400
SMBD,URAV,0,768,2280,27840,49560,0,10800,113200,0,0
BAG,PVT,111120,0,73320,0,0,49674,0,520000,18200,0
AIZ,AVJ,2040,0,0,0,3240,0,0,126000,306200,257160
AIB,AIY,305040,708864,694440,1125600,1385520,1331742,3695040,944500,1703700,1060280
SMDD,URYD,172560,1170688,1217160,419640,1485840,1011055,2323440,651700,582800,859920
BWM02D,PVR,66720,0,0,0,0,0,0,0,0,0
AVB,SIBD,217560,594688,208440,604440,583680,472073,2714880,1055100,1204100,926560
AIM,IL2D,0,9728,10320,15600,0,0,0,1200,17400,3040
RIA,RMG,40680,125952,7080,55320,81600,151388,352800,0,94200,14960
AVA,AVJ,328680,134144,318360,396600,531120,267631,1909680,1164000,2544300,2066880
AVJ,URYD,115440,138752,83760,135600,311640,361235,151440,447700,306800,301320
PVW,RMF,0,0,0,0,0,0,0,11300,6300,0
AVB,AVM,0,0,0,64080,522120,1983251,3398880,2804200,3451100,2729280
ADF,SAAD,5160,0,0,0,0,0,0,0,0,0
AIA,AIZ,699360,1268480,812040,925080,2181600,3401164,6751680,3172300,3318900,2422360
RIH,SAAD,75240,0,188040,17520,24960,173352,471600,15400,0,0
SAAV,SMDD,2915280,5138432,3984600,4708800,8833200,12477694,16956000,11644900,14555600,15736760
IL1V,OLQV,861120,1788928,1208040,1307880,2809560,3412653,6131040,2997000,4142800,3181120
ADF,AIN,480,99584,77280,0,51480,357856,15360,373800,31300,16640
AIZ,RIA,2264640,3275776,2702880,3230280,8398440,8668322,11744880,11199400,11980600,10808640
FLP,RID,0,0,0,0,0,97320,0,0,0,0
BWM04V,BWM08V,67800,651520,348120,468360,1168560,1057351,4858320,148800,638700,214000
BWM05V,RIC,114240,0,0,2880,6240,0,0,0,0,0
BWM07D,RIA,0,0,0,17280,18720,10813,243360,0,700,0
CEPD,CEPV,960,0,0,0,0,0,0,0,0,0
IL2D,SAAD,0,0,0,0,27120,0,0,108200,0,800
ADA,BWM02V,1440,0,0,0,0,0,0,0,0,0
BWM06D,RIF,0,0,0,0,0,0,6240,0,0,0
IL1D,PVQ,8880,0,5040,10440,0,337,0,0,5800,0
AVA,RIA,384120,1436416,1312560,1049040,2547240,4456149,3166080,2975100,4845600,4894480
AWB,SIBD,102360,0,0,0,186120,0,8640,0,0,0
AQR,RIM,0,0,0,8520,13920,0,1680,20100,0,0
AVJ,IL1D,18720,43776,27600,27360,31920,46632,17040,500,0,0
DVA,URAV,99120,146688,49440,91800,89640,126044,178320,404800,187400,70120
RMDL/R,SDQ,0,0,0,31920,0,0,63840,12100,0,0
ADE,ALM,0,0,0,116400,237120,795463,2333760,627400,747600,456280
AVH,CEPD,56520,181760,30840,58920,197520,112526,138240,374700,395200,254800
AWC,RIR,0,0,0,0,0,0,0,734200,1312400,1220000
FLP,RIS,0,193024,118920,68160,282960,2447892,2097600,244500,745000,924080
ASG,SMDV,0,0,0,4800,85920,0,6000,0,0,0
ASH,SIAV,349440,175360,247800,0,0,0,0,0,0,0
RIF,RIG,10320,0,0,0,0,0,242880,0,0,0
AIB,AVD,300840,216576,195960,285720,544080,918465,1691280,1957700,2050400,1830360
BWM01D,URYD,4200,0,14640,39840,144720,27371,141120,0,0,0
AVD,URYV,176400,151040,185640,117360,119880,193965,372720,615400,473600,555120
CEPV,IL1L/R,0,0,0,0,0,51363,13680,273200,356400,93440
BWM05D,URAD,0,0,0,0,0,0,0,8800,34800,0
IL1L/R,PVW,0,0,0,0,0,0,9360,369100,185800,186520
RID,SMDV,0,0,2160,11040,152160,192952,307200,168000,41200,246640
RMED,SAAD,0,0,0,0,3360,0,0,0,0,0
AVL,SDQ,0,0,0,0,0,44267,29520,516100,218800,92440
RID,RMF,0,0,0,0,0,2703,0,0,321800,147680
ASH,HSN,0,0,0,0,0,0,10678320,0,0,0
AVH,BWM04D,0,0,0,0,0,0,0,1600,0,0
PVW,SAAV,0,0,0,0,0,0,0,1900,0,32880
RMDD,SDQ,0,0,0,10800,35280,0,241200,0,232800,0
ADF,AQR,0,0,0,76680,0,0,0,323900,0,0
DVC,SMBV,0,0,12120,0,17160,68259,4800,0,20600,50160
URX,URYV,145920,480512,345240,156960,892320,876225,609360,185500,244100,281800
ASH,IL2L/R,1080,8704,0,0,5760,11827,0,0,0,0
ADF,OLQD,0,0,0,0,16560,0,0,0,0,0
AIY,ASK,2280,0,0,39240,0,56770,0,0,0,0
AVH,SMBD,43560,2816,30960,24840,204720,2027,106320,384400,0,24760
BWM04V,RIC,45120,2816,0,2880,22800,19937,0,0,0,0
RMED,SDQ,0,0,0,0,0,0,0,0,45000,0
ASH,RMEV,126360,145152,122040,0,199440,215592,137280,70800,0,240520
AVJ,RID,257520,297728,177600,420840,1479480,541347,1121520,395800,730100,885880
PLN,SMDD,0,0,0,0,0,0,384720,287600,130500,330480
ASI,RIB,0,122624,121920,203040,262440,129761,269760,227100,436600,391640
PVP,RID,78240,830464,11400,18480,392760,88197,26160,430800,501700,60240
PVT,URAV,72120,26624,54240,39480,240600,454501,522960,110200,99400,170520
DVA,RIH,0,142848,248160,0,0,474777,1323600,421000,289800,931440
SIBV,SMDD,20640,93440,23280,147960,1950240,227420,0,17500,974500,65040
ASH,ASH,62880,162048,110040,71040,166560,430510,367200,378500,550400,442400
IL2D,OLQD,650640,1556736,1176600,764760,3023400,2775336,3173760,3618700,3365800,3908840
AIA,AVH,0,0,0,0,42960,44605,234240,1100,8500,14960
AVK,RMH,0,0,0,213000,913560,572098,1553280,341900,542400,1001440
OLL,URYD,77520,44288,228120,126240,235080,674149,252000,165800,173100,120720
IL1L/R,RMDV,1428240,2157824,1351200,1982040,3870120,5307707,7932000,5353700,6006200,7309520
AVA,RMDL/R,127560,493056,57960,212400,61560,47984,524160,0,196600,289960
BWM06V,URB,0,10496,0,24000,0,43253,0,0,0,0
ADA,URYD,148680,262912,166320,112440,198600,389959,284160,518800,412200,555760
AVJ,RIS,287400,417280,474960,432960,1659000,1538210,1515840,302100,472700,561840
SMDV,URX,0,5120,0,0,0,0,0,140200,0,0
RIF,SIBD,0,0,0,0,0,0,16800,1400,1000,1120
PVP,RIS,0,0,0,0,53880,0,0,0,0,0
AIY,BDU,0,0,1080,0,0,0,85680,0,0,0
SIAD,SMDV,1529160,3409152,1751040,3353760,5592600,5115432,10549200,4962900,5862500,6926040
BWM07V,SIBD,0,0,33960,0,26640,0,0,17800,0,0
FLP,PVC,641400,815360,583800,1510200,1831920,2106929,3156240,1232800,2924300,3143800
RMH,URX,0,0,0,0,285360,92252,226560,66500,0,0
AIA,AIA,14160,165376,105120,64560,323400,0,367440,591000,464600,546640
ASE,PVC,0,33536,0,0,0,0,0,0,0,0
AIM,AVJ,61920,113152,51600,205200,187320,246005,523200,1988400,1236300,1677120
IL2V,RIP,944880,2081792,1506480,2238840,4123200,4983981,6588960,2382700,2954600,3145360
BWM05D,PVW,0,0,0,0,0,0,0,12500,0,0
AVD,CEPD,118800,231936,104040,27600,273480,357857,130560,85300,79800,260560
BWM05D,SIBV,62520,3584,20880,21720,0,0,0,0,16900,0
OLQD,PVC,0,0,6960,9000,0,0,0,0,0,0
BWM01V,SMBV,318480,295168,361800,217680,496800,686653,1218000,720700,1034000,748960
ADA,IL1D,0,0,38400,960,0,0,0,0,0,0
ASE,AVB,0,0,0,6000,0,0,0,0,0,0
BWM06D,RMF,0,0,0,0,0,0,190560,80200,102800,89720
ALN,URX,0,0,0,0,27480,0,0,54500,0,0
AIB,AWB,366000,473088,200280,260520,686880,737338,674640,532100,831600,759520
AQR,RIF,0,0,0,0,0,0,0,124200,0,76400
BDU,SDQ,0,0,0,134880,1498680,659281,1051440,481600,605400,672440
BWM02D,BWM07D,0,0,0,0,0,0,0,125400,0,0
CEPV,RMED,0,1024,9000,0,0,5068,0,0,0,0
FLP,SMDD,0,0,0,32160,0,66908,0,0,0,120320
AVE,IL2D,0,75008,40560,0,265560,266956,156720,238000,18900,374640
AIB,SAAV,367560,390912,254400,245280,403680,283514,1064880,267800,563300,380360
BWM08D,PVW,0,0,0,0,0,0,0,132400,38900,0
RIG,RMDL/R,0,0,0,0,0,35143,10560,0,0,720
RMG,URB,15240,0,11160,9480,200160,465315,441360,44000,47000,7280
BWM08D,SIBV,0,25856,110520,45360,147120,119961,278880,75700,77600,4360
BAG,URB,0,0,4560,0,9480,0,0,0,0,0
ASK,URAD,0,0,0,840,0,2027,0,0,0,21400
AWA,RIR,15360,0,0,2160,184200,0,122880,446800,459400,266160
HSN,RID,0,0,0,0,0,0,234720,0,0,0
SMDV,URAD,0,0,0,0,0,24668,0,1104900,1290200,1454280
BWM02V,IL1L/R,350400,928512,671280,251520,1022400,1510501,1286160,302400,257400,735960
OLQD,SMDD,57960,243456,25680,2040,417360,71976,0,141300,55900,904160
AIB,BAG,730920,840448,591600,397800,784440,1474681,2191920,1246600,777200,267280
ALM,SIAV,0,0,79440,8400,0,0,0,0,0,0
RIR,RIV,476160,888832,662400,1646520,655920,393338,699360,1264800,1511900,995160
AIN,AWC,759720,1548288,728640,1635600,1440600,1172242,2126160,1755500,2793000,2581200
RIS,URAV,0,0,0,3840,0,6758,0,0,0,209320
AVJ,RIG,185040,0,0,0,10800,0,0,0,0,0
AIB,SMBV,68280,49664,0,0,49920,0,11280,16800,0,0
BWM07D,SIBV,0,40448,228600,66960,0,57108,36960,86000,149000,0
HSN,RIS,0,0,0,0,0,0,239040,0,0,0
