neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
SAADR,0,0,25,0,0,0,1110,0,2604,596,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,63,0,0,0,20,153,0,0,23,804,13,0,39,0,47,2183,0,1742,95,1401,31,359,0,60,7,54,82,0,502,96,737,0,0,397,820,0,0,0,0,27,73,1120,684,3,104,12,124,462,187,111,47,8,0,15,0,0,2,12,144,0,192,3,4,30,0,868,1608,0,1598,1472,0,0,72,0,56,52,0,0,69,2000,94,0,459,1,67,372,0,0,0,0,0,0,372,30,290,801,19,167,16,116,184,155,96,711,0,686,13,419,2256,123,0,0,0,33,430,1,11,0,34,0,0,228,0,885,343,9,9,2,0,0,586,0,0,38,258,101,47,544,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,2
SAAVL,0,2,0,0,5,38,0,0,1264,310,5,0,96,0,415,0,0,25,86,0,52,0,125,16,0,31,0,14,0,49,1,54,100,30,135,0,0,1,5,4,0,0,0,0,0,0,4,0,0,174,1742,0,2038,22,453,1,0,0,0,78,128,0,4,134,332,0,17,475,89,0,21,0,0,34,7,2889,1370,11,19,41,250,84,79,0,0,0,6,0,0,0,0,12,0,109,162,27,1,0,5,26,1111,0,1172,2026,0,1,0,0,0,80,0,0,0,1185,621,2,39,57,74,250,0,0,0,0,0,0,614,588,687,362,110,656,301,499,88,89,380,337,0,821,518,3040,1489,357,0,15,0,1,137,552,0,25,0,0,0,0,0,49,321,15,0,0,0,0,7,0,9,326,329,203,177,426,181,0,0,0,2,0,360,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAAVR,0,0,0,15,44,17,0,0,428,1335,27,224,0,325,0,0,0,70,78,89,5,87,12,0,49,0,16,0,111,0,34,28,6,77,405,49,2,9,18,0,24,4,0,15,0,26,0,0,0,1456,95,2038,0,0,0,3,2,13,0,29,103,26,0,685,2,5,4,98,377,36,0,0,1,0,50,1296,2820,42,1,91,232,59,105,0,0,2,0,0,1,48,0,18,0,264,198,24,8,0,0,1134,0,0,1971,1083,3,0,0,0,0,0,75,3,0,588,1590,4,35,26,36,5,199,0,0,0,0,6768,1626,876,412,400,798,58,827,444,265,232,346,340,898,18,2807,352,335,1278,0,15,0,0,520,16,108,0,23,29,102,0,10,0,75,0,0,0,0,0,7,6,4,752,253,235,1,196,139,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDQL,0,0,2,0,0,0,11060,0,893,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401,22,0,0,0,12,0,0,0,0,0,8,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,853,8,0,698,10,0,16,387,8229,0,0,0,0,0,1835,0,0,0,0,0,2830,0,0,0,0,0,0,38,0,0,0,0,121,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,690,0,136,0,0,0,18,0,690,0,1088,0,0,0,53,0,0,0,0,0,0,937,0,0,0,0,0,110,184,0,0,0,0,0,0,61,0,0,81,0,230,22,1307,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SDQR,0,0,0,0,0,0,0,4150,0,412,315,0,0,0,6,0,10,0,0,0,0,0,0,0,0,4070,0,0,0,0,0,0,0,0,1408,800,23,0,0,0,19,0,0,0,23,0,0,0,1,481,31,453,0,0,0,0,180,0,2,0,0,0,0,0,946,0,0,22,0,0,40,0,0,0,0,692,0,2011,155,1274,37,20,20,39,48,0,2061,0,434,0,187,3090,5,0,24,0,0,0,385,0,1,0,0,299,0,41,0,0,0,0,31,0,0,416,0,57,0,0,12,152,0,0,0,0,0,0,0,0,375,21,0,2927,45,0,3134,89,533,0,0,416,53,265,654,0,0,0,0,0,6,443,0,51,0,0,40,33,129,188,241,48,0,0,0,524,0,0,18,1522,1992,0,48,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URBL,0,0,99,0,69,0,1243,0,1653,0,0,18,37,0,0,0,0,30,0,168,0,42,0,23,0,0,5,0,0,0,43,8,0,0,311,0,0,20,0,3234,0,4,0,1786,0,1122,0,559,0,0,359,1,3,12,0,0,0,2374,0,55,0,0,0,1841,0,19,0,25,9,0,105,6,0,15,0,45,0,36,22,245,1512,60,0,3,407,3,0,68,0,0,0,436,20,0,0,48,0,0,0,8,0,0,0,11,250,0,0,99,0,3198,0,0,0,69,0,11,486,256,416,0,229,0,0,104,0,0,926,42,0,392,762,0,803,256,1407,1018,0,840,66,0,0,258,95,0,1,0,70,0,2914,0,46,0,195,0,9,0,0,17,0,77,3372,0,2216,0,16,48,0,1704,1225,1297,19,338,0,0,134,0,533,0,1423,0,2852,0,0,0,0,0,0,0,0,0,10,0,1054,0,11,0,1024,0,0,0,0,0,0,0,0
URBR,0,0,0,244,0,9,0,2088,0,635,13,10,17,0,0,0,49,0,43,0,135,0,84,0,13,0,0,2,0,0,26,43,10,6,195,0,0,0,0,0,3589,0,0,0,2001,0,441,0,725,287,0,0,2,0,180,0,0,0,3363,0,0,0,0,0,1498,0,14,18,36,16,0,0,0,0,10,0,1,0,169,1222,0,0,245,175,0,0,249,0,665,0,0,170,47,0,10,0,80,0,100,0,24,0,0,0,0,141,0,0,1,0,3641,0,0,0,208,347,28,845,101,15,0,0,0,0,0,0,1913,1055,118,18,0,1135,46,1533,794,1323,986,20,0,617,0,0,0,154,0,0,0,0,0,2864,0,74,72,9,36,10,0,0,9,66,0,2987,0,1740,52,0,30,1340,1792,0,4,0,417,0,0,0,0,0,0,0,0,0,0,0,630,0,264,0,1067,0,0,0,0,0,0,0,0,0,0,0,603,0,0,0,21
URXL,2359,0,28,0,850,0,700,0,215,0,434,20,39,0,0,1023,0,20,0,280,0,44,0,3248,0,0,493,0,1314,0,0,7,0,488,162,0,0,1389,0,1119,0,397,0,257,0,0,0,283,0,1,60,0,13,0,0,2374,0,0,0,1543,0,589,0,1430,0,123,0,0,206,193,229,409,0,500,0,88,26,133,15,191,333,416,73,189,444,213,0,19,0,1590,0,97,19,1002,0,465,0,214,0,930,0,61,60,0,0,0,1764,200,0,491,0,232,0,4,1,0,34,3,10,14,0,10,0,62,0,0,0,0,107,116,38,0,32,162,48,24,73,4,349,0,0,32,0,0,454,0,142,0,212,0,984,0,305,531,380,338,1411,3,2,10,1062,0,231,0,7,116,0,335,345,81,2,908,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
URXR,0,2284,0,117,0,300,0,804,0,395,254,81,89,0,0,0,1088,0,34,0,370,0,60,0,3194,0,0,654,0,934,16,3,541,204,144,0,0,0,920,0,1007,0,185,0,320,0,190,0,384,24,7,0,0,0,2,0,3363,0,0,0,1471,0,699,0,1074,0,113,96,4,219,121,0,379,0,481,26,15,197,191,596,40,46,778,231,82,0,3,0,554,0,1453,16,26,0,992,0,682,0,54,0,845,124,0,39,0,5,1735,0,216,0,801,0,225,0,0,74,0,67,22,0,17,16,10,3,0,0,289,74,61,64,0,280,157,39,97,93,19,4,0,120,90,0,0,0,0,1491,0,208,0,53,0,1058,565,590,386,1141,124,15,7,33,0,1755,0,323,83,0,135,591,640,0,18,0,865,0,0,0,0,0,0,0,0,0,10,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
URYDL,0,0,82,0,69,0,132,0,0,0,0,42,53,0,0,99,0,37,0,85,0,64,0,65,0,0,84,0,29,0,121,80,23,33,94,0,0,2839,0,0,0,0,0,705,0,2275,0,0,0,85,54,78,29,0,0,55,0,1543,0,0,0,0,0,345,0,82,0,32,153,24,33,8,0,18,0,149,30,125,32,340,256,311,1263,148,200,62,0,30,0,0,0,55,101,0,0,718,0,48,0,599,0,783,42,27,38,0,0,5388,0,0,0,0,0,49,54,82,436,0,0,1997,0,490,755,0,701,0,0,0,128,0,0,0,70,103,16,8,66,0,0,0,11,1037,54,1,3174,0,0,0,0,0,66,0,174,50,48,107,0,79,43,187,2725,0,0,0,73,37,0,28,5,246,108,0,0,102,0,447,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URYDR,0,0,0,27,0,1,0,0,0,0,46,6,0,0,0,0,27,0,9,0,17,0,29,0,12,0,0,44,0,3,16,33,36,49,113,0,0,0,4270,0,0,0,0,0,589,0,2431,0,0,107,82,128,103,0,0,0,0,0,1471,0,0,0,0,0,0,0,29,242,23,11,20,0,2,0,0,22,285,82,21,156,355,954,371,341,94,0,45,19,3,0,0,101,94,0,4,0,677,0,37,0,263,708,30,30,0,3,0,0,6322,0,0,0,0,101,70,692,36,0,10,0,2316,258,356,893,432,0,19,0,0,26,0,0,38,55,108,90,0,135,0,0,886,7,0,35,0,3559,0,0,0,0,0,24,65,0,92,0,51,47,26,96,0,2901,0,0,82,0,22,9,167,0,83,0,0,0,0,0,0,0,0,0,0,403,0,357,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URYVL,171,0,171,0,4,0,276,0,0,0,36,1,0,0,0,30,0,0,0,0,0,0,0,83,0,0,30,0,207,0,0,0,0,265,217,0,0,0,0,0,0,1961,0,736,0,0,0,2300,0,365,0,0,26,8,0,0,0,589,0,0,0,0,0,219,0,0,0,0,242,0,125,0,0,22,0,72,199,78,150,0,140,0,1553,0,163,0,0,114,0,52,0,260,320,160,0,1114,0,0,0,889,0,102,48,7,144,0,112,0,0,0,0,5941,0,0,83,1785,0,0,0,41,674,661,937,86,95,0,69,98,443,0,137,0,255,0,214,198,113,0,0,0,45,0,0,612,0,0,2252,0,0,0,0,0,0,0,0,0,172,90,34,432,0,0,1539,0,209,0,0,63,151,265,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,268,0,243,0,0,0,12,0,3,0,0,0,0,0
URYVR,0,145,0,184,0,7,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,3,0,133,0,0,138,0,309,0,0,0,0,0,0,0,1610,52,790,0,0,0,1882,0,502,4,0,0,0,0,0,0,699,0,0,0,0,0,615,0,0,137,0,95,0,0,0,0,46,349,0,227,84,122,0,1804,0,95,0,0,0,0,148,0,37,258,347,0,144,0,1086,0,0,0,746,880,0,55,0,249,284,0,0,0,0,0,5270,74,0,0,1479,0,4,802,60,797,507,700,132,0,0,0,0,415,0,196,0,447,206,166,0,284,0,16,0,38,531,0,0,0,0,1617,0,0,0,0,0,0,2,160,0,42,175,485,0,0,0,620,281,0,0,254,2,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,361,1,716,0,231,0,0,0
ADAL,455,0,1090,0,0,0,2884,0,527,0,76,67,0,0,0,2755,0,0,0,0,0,453,0,0,3,82,142,0,506,0,0,0,0,0,676,1576,699,274,0,63,0,259,0,83,0,317,0,532,0,221,96,134,685,400,0,1841,0,1430,0,345,0,219,0,0,0,110,0,58,25,0,0,0,0,7,0,990,1076,1621,1232,513,1772,311,6,0,1529,740,0,460,0,594,0,688,0,39,0,0,0,923,0,27,0,0,1170,6,1455,0,0,122,0,3,0,122,0,312,503,0,43,12,0,0,4,0,0,0,0,10,722,276,241,338,1340,0,1375,128,861,229,494,302,629,0,65,18,0,205,118,0,267,0,1294,278,187,0,0,470,829,0,1443,4,53,0,260,0,135,0,0,765,0,1085,863,1417,0,814,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ADAR,0,752,0,954,0,0,0,1945,0,24,413,0,53,0,0,0,3239,0,0,0,0,0,547,0,0,863,0,367,0,282,0,0,0,0,989,2275,1955,0,0,0,54,0,332,0,0,0,0,0,511,9,737,332,2,0,946,0,1498,0,1074,0,0,0,615,0,0,0,439,224,228,0,0,0,9,0,422,1386,291,883,1497,986,76,351,176,1036,0,0,71,71,1735,0,1716,130,0,0,172,0,1,0,1256,0,1,0,0,1830,0,39,0,0,0,0,26,0,85,0,9,0,0,0,1,11,0,0,0,0,0,0,19,0,40,156,0,1211,197,966,81,1028,134,753,0,325,60,41,165,7,0,0,0,392,421,943,0,83,0,1,503,991,0,2,0,0,0,152,0,433,23,0,657,1445,1480,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIAL,953,0,1558,24,92,6,0,0,0,0,0,2024,518,5388,0,1593,0,1513,19,1727,0,6225,63,2,0,0,1743,0,1389,13,1839,1224,0,68,0,0,0,42,0,73,0,0,0,22,0,68,0,0,0,0,0,0,5,0,0,19,0,123,0,82,0,0,0,110,0,0,235,2906,39,229,189,594,0,1142,0,0,0,18,42,0,55,0,78,0,75,28,0,0,0,28,0,0,0,0,0,2,0,1303,0,0,0,0,31,0,0,0,132,117,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,14,0,16,0,0,314,0,0,3,0,0,20,0,0,0,0,0,2745,0,84,486,87,0,279,0,37,0,0,0,66,0,0,1619,15,57,0,1,0,69,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIAR,0,537,35,1650,0,123,0,0,0,0,0,572,1124,0,5938,0,2092,0,1900,0,1206,174,5745,0,43,44,156,1581,20,738,776,2098,0,0,0,0,0,0,93,0,81,0,0,0,39,0,25,0,0,0,0,17,4,0,0,0,14,0,113,0,29,0,0,0,439,235,0,13,3190,153,341,0,568,0,1022,0,5,29,27,148,0,63,0,189,0,0,267,0,0,0,9,1,0,0,26,0,1,0,1900,0,0,0,0,91,0,0,26,0,44,0,84,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,3,0,0,0,0,355,0,0,0,0,0,20,0,0,0,0,0,3694,47,47,12,59,0,0,2,0,0,2,0,63,0,0,1721,0,55,0,125,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIBL,149,7,1252,0,453,0,0,0,0,5,466,2580,157,1400,0,792,0,566,0,67,0,1207,0,67,157,0,773,0,468,133,1543,405,259,11,431,226,147,55,3,41,37,0,146,25,59,27,0,0,17,554,397,475,98,0,22,25,18,0,96,32,242,0,137,58,224,2906,13,0,181,289,210,647,0,241,1063,927,94,532,0,333,95,469,406,1,0,0,0,0,83,0,309,0,236,0,36,7,387,148,0,17,852,0,118,1160,0,0,221,35,14,35,0,0,108,705,75,0,7,1,0,0,1,31,0,0,1,0,2,49,0,1690,0,292,315,298,258,127,0,516,58,27,30,915,97,179,12,0,0,234,4,0,111,0,161,18,28,25,25,161,421,400,0,0,5,0,385,360,0,25,0,0,291,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIBR,43,39,0,1488,0,433,0,0,2,0,257,272,1619,0,1429,0,1032,0,706,0,55,0,1367,25,148,9,21,632,66,516,325,1313,14,274,200,94,295,0,16,28,124,282,0,90,41,4,26,0,0,554,820,89,377,0,0,9,36,206,4,153,23,242,0,25,228,39,3190,181,0,187,326,13,713,960,265,10,1183,0,308,230,193,628,389,2,0,0,0,50,0,536,4,0,379,185,4,356,94,0,82,860,1,0,1050,211,0,0,158,5,19,0,76,163,0,349,675,7,0,0,0,13,0,45,0,0,0,0,352,131,1126,30,88,0,355,76,155,334,478,0,23,30,935,1,196,86,0,2,123,0,0,0,0,259,242,7,15,25,2,318,477,392,0,0,0,1,656,0,175,54,78,163,115,197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AINL,0,517,84,0,692,4790,238,0,184,0,0,928,128,317,113,0,0,340,238,0,0,56,0,880,4225,0,0,34,0,55,422,227,2350,786,0,0,0,55,0,0,206,0,0,84,29,82,109,0,90,0,0,0,36,0,0,0,16,193,219,24,11,0,95,0,0,229,153,289,187,0,2447,236,866,6,178,0,165,0,0,420,1,29,7,493,0,0,0,0,0,0,0,0,0,45,92,415,1429,0,0,0,18,81,0,64,0,0,3,44,63,0,65,0,0,52,32,0,0,0,0,0,0,0,0,0,60,0,0,0,0,22,0,0,0,192,0,0,0,0,0,0,0,29,0,18,39,0,0,0,308,0,0,0,0,0,0,476,0,0,0,0,116,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AINR,68,19,0,166,5857,1364,0,62,0,0,0,598,1104,148,237,0,0,363,358,0,167,0,593,3585,356,0,47,0,0,18,262,790,149,1572,0,0,0,30,60,89,0,0,0,46,0,121,55,27,0,23,0,21,0,0,40,105,0,229,121,33,20,125,0,0,0,189,341,210,326,2447,0,691,576,121,4,30,0,0,0,0,248,0,0,0,316,0,0,0,0,0,0,0,0,203,1,1073,116,0,4,23,0,92,35,0,0,0,0,51,19,162,0,0,0,70,0,0,0,0,0,0,0,0,0,0,62,0,0,0,8,0,0,0,28,0,0,0,1,0,0,0,0,0,20,0,34,27,0,0,1,6,0,0,0,0,0,0,149,0,0,0,39,62,195,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIYL,1394,0,25,0,4965,201,0,0,0,0,73,2044,1687,222,0,167,0,525,0,0,0,0,0,3077,59,84,1823,0,1459,148,1397,899,277,1202,50,0,0,47,0,60,0,0,0,0,0,56,0,6,0,0,0,0,0,0,0,6,0,409,0,8,0,0,0,0,0,594,0,647,13,236,691,0,456,2322,19,2,6,32,142,0,65,0,92,67,623,126,0,0,0,98,9,0,0,478,0,1387,20,183,0,13,0,297,111,43,0,0,351,70,0,9,0,0,0,70,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,186,0,245,0,27,44,216,0,234,0,0,0,12,0,13,0,0,0,0,0,574,0,0,22,0,0,192,23,97,0,16,0,17,0,0,62,0,0,0,32,179,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIYR,60,1292,0,186,0,5159,0,0,0,0,92,1323,1938,0,83,0,44,0,772,0,0,0,17,233,3345,160,0,1495,0,1716,1259,1028,1363,292,84,15,0,0,34,0,50,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,0,379,0,2,0,0,0,9,0,568,0,713,866,576,456,0,112,2222,16,32,68,34,68,0,103,2,1032,0,0,109,0,70,0,95,0,7,148,434,7,1118,0,247,13,8,224,0,255,0,0,546,0,84,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,206,5,16,55,11,13,227,0,0,0,11,0,1,0,0,0,0,0,382,0,7,0,319,0,4,26,0,0,0,0,36,19,0,104,0,0,0,313,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZL,4053,0,123,0,1284,0,0,0,0,0,127,784,532,549,0,488,1,247,0,2,0,20,0,896,87,0,2285,0,3109,18,336,456,13,561,783,0,0,11,0,54,0,0,0,6,0,12,0,39,0,8,27,34,0,0,0,15,0,500,0,18,0,22,0,7,0,1142,0,241,960,6,121,2322,112,0,459,2,51,206,15,64,7,970,885,0,0,0,0,114,0,521,157,0,70,822,98,792,0,45,0,493,13,368,739,17,0,0,846,17,0,92,0,0,0,0,11,0,0,0,0,0,0,0,0,0,93,0,0,0,638,1,44,0,384,252,25,150,1002,209,1588,69,58,1,71,0,0,0,0,0,0,0,180,0,0,50,3,5,892,171,147,3,0,0,9,0,235,17,0,141,0,119,0,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZR,186,3261,0,158,0,1539,0,0,0,0,39,384,779,0,519,58,600,0,206,0,0,0,87,0,1162,7,92,2099,193,2378,359,351,611,9,624,0,0,0,0,0,116,0,0,0,20,0,17,0,24,107,73,7,50,0,0,0,10,0,481,0,0,0,46,0,422,0,1022,1063,265,178,4,19,2222,459,0,83,6,8,230,122,99,485,1083,8,0,0,0,12,4,0,139,0,0,147,1003,0,719,0,28,46,1102,265,0,831,0,0,1181,0,41,0,80,0,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,63,323,355,76,5,58,1337,237,1434,0,51,36,34,0,0,0,0,0,0,0,92,0,7,5,529,136,132,109,26,0,0,0,6,239,0,43,0,148,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVAL,12,0,329,0,9,0,154,0,180,673,1416,0,0,0,0,508,0,0,0,0,0,0,0,453,0,401,176,0,219,0,0,0,103,788,221,1580,2826,145,0,6,0,0,98,0,3,126,0,161,0,488,1120,2889,1296,0,692,45,0,88,26,149,22,72,349,990,1386,0,0,927,10,0,30,2,16,2,83,0,574,498,765,836,282,366,8,121,486,0,5,1776,430,582,366,49,158,150,157,371,0,0,0,26,294,5,593,916,84,0,490,12,0,60,0,0,74,852,155,6,40,41,0,194,0,0,0,0,0,0,672,692,118,584,308,285,474,308,34,147,112,459,1,46,148,1231,641,198,31,0,0,13,441,893,32,1,0,0,0,222,707,404,167,57,74,0,0,4,200,0,0,1307,240,698,31,105,199,0,0,0,0,0,118,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVAR,0,11,0,0,0,57,0,26,116,2,738,73,0,0,0,0,96,0,11,0,0,0,0,0,728,32,0,0,0,0,14,0,487,113,254,2149,3455,0,83,0,15,17,0,14,0,0,72,0,0,978,684,1370,2820,0,0,0,1,26,15,30,285,199,0,1076,291,0,5,94,1183,165,0,6,32,51,6,574,0,562,297,43,656,21,257,382,216,152,10,796,714,1459,150,11,62,211,192,1,160,79,0,604,91,5,1050,429,0,28,44,0,4,0,33,20,0,309,805,49,220,233,62,123,69,0,0,0,0,0,731,1218,981,302,119,331,452,524,33,154,203,118,86,0,1181,367,402,882,0,110,13,0,1677,924,0,0,0,129,238,67,452,202,431,5,0,303,0,0,584,139,0,471,825,644,5,148,196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVBL,190,0,267,27,0,0,1320,424,171,0,2208,1,0,14,0,2602,24,0,0,0,0,10,0,146,0,823,105,0,58,0,0,0,405,0,672,0,38,168,15,0,0,0,5,0,0,126,0,54,55,7,3,11,42,853,2011,36,0,133,197,125,82,78,227,1621,883,18,29,532,0,0,0,32,68,206,8,498,562,0,1235,1540,1544,407,130,2091,3916,1546,34,2260,2467,1377,2064,1174,0,4,35,90,268,1857,22,0,282,0,503,467,217,189,119,23,0,0,0,0,13,88,465,0,3,0,0,0,3,0,0,0,142,0,0,0,6,250,57,524,211,790,695,478,13,201,171,29,39,62,13,80,129,68,0,11,0,11,12,159,0,98,319,1429,1427,9,16,0,3,0,80,128,37,35,10,310,132,1053,262,151,72,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVBR,4,155,200,251,0,0,122,1507,17,9,1897,0,12,0,118,77,1915,0,0,0,0,0,22,0,270,669,8,130,14,22,0,0,140,295,919,180,116,1,2,0,0,26,0,0,0,1,0,56,120,1,104,19,1,8,155,22,169,15,191,32,21,150,84,1232,1497,42,27,0,308,0,0,142,34,15,230,765,297,1235,0,1306,767,86,660,2789,3372,609,637,3864,2916,1291,1843,918,0,51,0,176,130,77,1685,136,0,0,299,293,248,325,133,0,0,0,0,46,0,372,80,0,0,0,0,21,0,0,0,0,0,0,18,27,198,0,725,2,690,250,1036,421,516,0,116,138,13,1,75,7,115,16,36,0,1,0,175,9,0,275,357,1059,1608,56,180,0,0,13,36,112,0,19,58,112,372,2475,231,235,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVDL,0,0,254,1321,0,0,1102,1680,17,4,1130,0,10,0,11,283,909,0,0,252,0,110,107,0,432,3120,12,22,0,32,22,14,1262,1061,1229,1744,1446,148,163,80,6,0,0,275,0,148,249,0,263,168,12,41,91,0,1274,245,1222,191,596,340,156,0,122,513,986,0,148,333,230,420,0,0,68,64,122,836,43,1540,1306,0,376,30,1367,4327,211,322,338,902,6672,253,551,1153,0,0,0,23,389,115,88,0,466,0,104,166,166,36,150,94,82,3,0,0,0,196,67,0,24,0,0,0,23,0,0,0,0,0,0,0,0,464,0,576,316,696,1476,435,177,314,0,239,0,64,137,6,72,20,0,0,435,67,286,2,229,82,376,1046,1,46,0,0,230,4,0,329,1,26,114,162,601,1509,33,0,237,0,0,0,1,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
