pre,post,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,classification
ADL,AIA,4,4,7,10,8,11,14,21,12,12,11,maintained
ADL,AIB,5,2,8,9,13,11,24,30,10,15,12,maintained
ADL,AIM,0,0,0,0,0,0,0,0,2,1,1,dauer_increased
ADL,ASE,1,0,4,0,5,3,10,3,1,3,1,maintained
ADL,ASH,0,0,1,4,6,3,11,12,1,0,2,dauer_decreased
ADL,ASI,0,0,0,0,0,0,0,0,3,2,2,dauer_increased
ADL,ASK,8,5,6,9,6,5,2,5,4,1,6,maintained
ADL,AVA,0,0,0,7,2,4,10,30,6,6,0,maintained
ADL,AVB,0,0,0,0,0,1,2,1,0,0,0,dauer_decreased
ADL,AVD,0,2,4,5,14,9,14,26,10,10,4,maintained
ADL,AVE,0,0,0,0,0,1,2,1,0,0,0,dauer_decreased
ADL,AVJ,0,2,2,2,8,5,8,5,2,2,2,dauer_decreased
ADL,AWC,3,1,5,4,7,8,8,13,5,4,10,maintained
ADL,SMBV,0,1,0,0,1,1,6,10,1,1,0,maintained
AFD,AIY,6,5,8,11,16,15,27,20,24,21,20,maintained
AFD,ASE,0,0,1,0,1,1,2,1,2,2,6,maintained
AIA,ADA,0,1,4,0,1,5,4,5,6,11,7,dauer_increased
AIA,ADL,0,0,0,1,0,1,2,7,2,3,4,maintained
AIA,AIB,5,10,14,17,21,21,25,35,22,22,21,maintained
AIA,AIM,0,0,0,0,0,0,0,0,1,1,2,dauer_increased
AIA,AIZ,0,0,0,2,3,3,0,0,4,2,1,maintained
AIA,ASE,1,0,0,1,1,0,2,1,4,2,8,maintained
AIA,ASG,0,0,1,0,1,2,2,3,0,0,1,maintained
AIA,ASI,0,0,0,0,1,0,2,1,0,0,1,maintained
AIA,ASK,4,5,6,5,2,4,5,3,1,0,3,dauer_decreased
AIA,AWC,1,1,7,6,13,8,13,21,8,14,2,maintained
AIA,RIF,2,4,4,2,3,2,3,3,3,3,0,maintained
AIA,RIR,0,0,0,0,0,0,0,0,3,1,1,dauer_increased
AIB,AIZ,0,0,0,0,1,0,0,2,7,4,7,dauer_increased
AIB,AVA,0,0,0,1,1,0,9,7,3,4,3,maintained
AIB,AVB,5,6,8,9,10,13,17,14,9,11,11,maintained
AIB,AVE,4,2,1,0,2,0,2,3,6,4,3,dauer_increased
AIB,BAG,0,1,0,0,0,1,1,2,1,1,0,maintained
AIB,DVA,0,0,0,0,0,1,2,1,0,0,0,dauer_decreased
AIB,RIB,5,7,6,10,11,9,15,22,12,8,11,maintained
AIB,RIM,12,17,19,19,27,31,53,43,24,25,24,dauer_decreased
AIB,RMF,0,0,0,0,0,1,2,4,0,3,0,maintained
AIB,SAAD,1,0,2,2,2,1,8,5,3,1,2,maintained
AIB,SAAV,0,0,0,0,0,1,2,4,0,0,4,maintained
AIB,SMDD,4,6,6,5,8,9,6,11,5,6,8,maintained
AIB,SMDV,2,4,4,6,5,8,18,13,8,6,5,maintained
AIM,AIA,6,9,9,6,10,12,15,19,10,6,3,maintained
AIM,AIB,0,0,0,0,1,0,0,0,9,5,1,dauer_increased
AIM,ALM,0,0,0,2,3,0,1,2,3,1,1,maintained
AIM,ASG,4,9,5,5,7,8,13,14,0,0,0,dauer_decreased
AIM,ASH,0,0,1,2,0,0,4,2,1,1,2,maintained
AIM,ASJ,3,5,0,1,0,4,1,4,2,1,0,maintained
AIM,ASK,1,1,1,2,5,4,6,8,1,0,0,dauer_decreased
AIM,AVA,0,0,0,0,0,0,1,1,8,19,14,dauer_increased
AIM,AVB,0,0,0,1,0,1,3,3,7,4,6,dauer_increased
AIM,AVD,0,0,0,1,2,0,2,3,14,11,8,dauer_increased
AIM,AVE,0,0,0,0,1,0,0,0,5,3,2,dauer_increased
AIM,AVF,0,0,0,0,6,6,10,7,1,0,2,dauer_decreased
AIM,AVJ,0,0,0,0,0,0,1,2,6,3,3,dauer_increased
AIM,AWB,0,0,0,0,0,1,2,2,1,0,0,maintained
AIM,RIF,0,0,0,0,0,0,2,4,3,1,1,maintained
AIM,RMG,0,0,0,0,0,1,1,1,1,0,2,maintained
AIM,SMBD,0,0,0,0,0,1,1,1,0,0,0,dauer_decreased
AIN,AFD,5,5,8,9,10,9,16,17,5,9,6,maintained
AIN,AIA,1,1,0,0,0,0,0,1,1,1,3,maintained
AIN,AIB,1,2,0,0,0,0,4,2,1,1,1,maintained
AIN,ASE,1,1,4,1,0,1,3,3,6,4,4,dauer_increased
AIN,AUA,3,4,4,4,8,6,7,5,3,2,8,maintained
AIN,BAG,3,1,4,7,5,12,19,16,18,14,12,maintained
AIN,CEPV,1,0,0,1,1,1,3,5,0,0,2,maintained
AIN,RIB,2,0,1,3,5,7,15,13,14,12,19,maintained
AIN,RID,0,1,1,2,1,0,1,5,3,4,4,maintained
AIN,RIM,0,0,0,0,1,0,4,2,1,0,0,maintained
AIN,RMF,0,0,0,0,0,0,0,2,10,9,6,dauer_increased
AIY,AFD,0,0,0,2,1,1,2,1,0,3,1,maintained
AIY,AIZ,8,12,12,14,23,21,26,23,25,26,13,maintained
AIY,AWA,0,1,0,0,2,3,1,3,2,1,1,maintained
AIY,BAG,2,0,1,6,3,0,1,3,2,0,0,maintained
AIY,DVA,0,0,0,0,0,0,0,0,1,1,1,dauer_increased
AIY,RIA,3,6,5,6,10,7,11,6,8,8,6,maintained
AIY,RIB,5,9,6,8,8,7,12,12,9,9,9,maintained
AIY,RIR,0,1,0,0,0,2,1,0,3,3,2,maintained
AIZ,AIA,2,2,2,6,6,9,10,22,16,13,8,maintained
AIZ,AIB,8,12,11,21,29,34,46,73,24,26,29,maintained
AIZ,ASE,1,1,0,0,3,4,3,3,6,7,3,maintained
AIZ,AVE,4,3,4,5,8,11,24,20,4,9,5,maintained
AIZ,AWA,0,0,0,0,0,1,2,1,1,1,0,maintained
AIZ,AWB,0,1,0,1,0,1,1,2,0,3,0,maintained
AIZ,AWC,0,0,0,0,1,0,3,3,5,2,2,maintained
AIZ,BAG,0,0,0,1,0,1,2,2,0,0,0,dauer_decreased
AIZ,RIA,5,7,4,12,15,17,24,20,20,22,14,maintained
AIZ,RIM,7,11,8,14,20,17,24,40,8,8,16,dauer_decreased
AIZ,SMBD,5,6,6,13,14,19,28,22,18,22,11,maintained
AIZ,SMBV,5,6,5,16,18,21,28,27,23,20,13,maintained
ALA,ADL,0,0,0,0,0,0,1,1,6,1,6,maintained
ALA,AIA,0,0,0,0,0,0,0,0,2,2,1,dauer_increased
ALA,ASJ,0,0,0,2,1,0,0,0,4,4,1,dauer_increased
ALA,ASK,0,0,0,0,0,0,0,0,9,7,10,dauer_increased
ALA,AVE,2,3,3,4,4,3,7,4,2,2,1,dauer_decreased
ALA,AVJ,0,0,0,0,0,0,0,0,5,3,1,dauer_increased
ALA,IL2D,0,0,0,0,0,0,0,0,6,1,2,dauer_increased
ALA,PVQ,0,0,0,0,0,0,0,0,5,3,3,dauer_increased
ALA,URB,0,0,0,0,0,0,0,0,1,2,1,dauer_increased
ALM,AVD,0,0,0,0,0,3,1,5,2,8,3,maintained
ALM,AVJ,0,0,0,0,0,0,0,0,3,1,4,dauer_increased
ALM,BDU,2,2,4,6,9,11,16,15,3,3,2,dauer_decreased
ALM,CEPD,1,3,1,2,5,5,5,8,3,2,5,maintained
ALM,CEPV,0,0,3,5,5,6,9,9,6,4,2,maintained
ALM,PVC,0,0,0,2,2,9,12,17,3,4,1,maintained
ALN,RIA,0,0,0,0,1,0,1,1,2,0,0,maintained
ALN,RIV,0,0,0,0,0,1,4,1,0,1,1,maintained
ALN,RMF,0,0,0,0,0,0,0,0,1,1,1,dauer_increased
ALN,RMG,0,0,0,0,0,0,2,1,3,2,2,maintained
ALN,SAAD,0,0,0,0,0,0,1,0,1,2,2,maintained
ALN,SAAV,0,0,0,0,3,8,20,19,10,15,2,maintained
ALN,SMBD,0,0,0,0,2,5,8,8,2,9,1,maintained
ALN,SMDV,0,0,0,0,1,0,3,2,2,2,1,maintained
AQR,AVA,0,0,0,4,12,11,8,12,10,11,9,maintained
AQR,AVB,0,0,0,3,13,6,11,5,8,5,6,maintained
AQR,AVD,0,0,0,2,1,1,2,3,0,0,6,maintained
AQR,BAG,0,0,0,0,3,5,8,11,2,0,6,maintained
AQR,PVC,0,0,0,2,6,4,6,10,7,8,0,maintained
AQR,RIA,0,0,0,1,2,5,10,17,1,0,1,dauer_decreased
AQR,RIR,0,0,0,1,1,1,3,9,0,0,0,dauer_decreased
ASE,ADA,0,0,0,0,0,0,0,0,1,3,1,dauer_increased
ASE,ADF,0,0,0,0,0,0,0,0,1,1,1,dauer_increased
ASE,AFD,1,1,1,3,6,5,8,8,10,6,8,maintained
ASE,AIA,0,1,0,1,4,6,5,2,9,8,5,maintained
ASE,AIB,14,14,18,18,26,22,40,37,26,25,20,maintained
ASE,AIN,0,0,0,0,1,0,1,1,3,0,0,maintained
ASE,AIY,19,15,18,21,38,32,47,49,37,35,36,maintained
ASE,AIZ,1,1,0,1,4,1,1,1,13,6,6,dauer_increased
ASE,ASE,0,0,0,1,1,1,2,0,2,1,2,maintained
ASE,AWA,0,0,1,0,0,0,2,1,3,1,3,maintained
ASE,AWC,3,4,4,7,13,5,11,15,12,3,4,maintained
ASE,BAG,0,0,2,0,1,0,1,2,1,0,0,maintained
ASE,RIR,0,0,0,0,0,0,0,0,15,9,7,dauer_increased
ASG,AIA,7,7,9,13,17,13,29,19,2,1,0,dauer_decreased
ASG,AIB,0,1,1,1,2,6,7,4,0,0,0,dauer_decreased
ASG,AIM,3,3,3,3,2,0,2,3,3,0,0,maintained
ASG,ASI,0,0,0,0,0,0,0,0,21,19,12,dauer_increased
ASH,ADA,2,2,3,4,5,5,6,5,4,4,1,dauer_decreased
ASH,ADF,0,1,2,0,6,4,4,1,2,1,6,maintained
ASH,ADL,0,0,0,0,2,0,3,7,0,0,1,maintained
ASH,AIA,4,7,7,10,16,20,28,25,13,17,15,maintained
ASH,AIB,3,7,6,3,11,15,14,14,5,5,5,dauer_decreased
ASH,AVA,0,1,4,17,5,12,14,36,13,20,15,maintained
ASH,AVB,3,2,4,10,13,13,23,22,3,1,2,dauer_decreased
ASH,AVD,2,2,6,8,13,15,22,24,14,22,20,maintained
ASH,AVE,0,0,0,0,2,1,1,4,0,1,0,maintained
ASH,AVH,1,0,0,1,2,0,4,3,0,1,0,maintained
ASH,AVJ,0,2,2,0,1,1,5,2,15,12,22,dauer_increased
ASH,AWA,0,1,2,3,2,0,1,2,1,4,0,maintained
ASH,AWB,0,0,0,0,2,1,4,3,5,0,4,maintained
ASH,BDU,0,0,0,0,0,0,0,0,8,5,4,dauer_increased
ASH,RIA,0,2,3,4,5,4,3,2,1,0,1,dauer_decreased
ASH,RIF,0,1,0,0,1,0,1,1,8,3,1,dauer_increased
ASH,RIR,0,0,0,0,0,0,0,0,1,1,1,dauer_increased
ASI,AFD,0,0,0,0,2,1,1,1,0,0,0,dauer_decreased
ASI,AIA,1,0,2,1,4,5,12,11,8,5,4,maintained
ASI,AIB,2,0,0,1,2,4,12,13,0,0,0,dauer_decreased
ASI,AIN,1,0,0,0,0,0,0,0,3,2,7,dauer_increased
ASI,AIY,0,0,0,0,2,1,1,2,0,0,0,dauer_decreased
ASI,ASE,1,0,1,0,1,0,0,1,2,2,2,dauer_increased
ASI,ASG,0,0,1,1,1,3,5,8,33,32,5,dauer_increased
ASI,ASK,0,0,0,0,0,2,2,1,1,0,0,maintained
ASI,AWC,4,4,4,10,11,15,34,28,9,5,11,maintained
ASI,RIA,0,0,0,0,0,2,2,0,1,1,1,maintained
ASJ,AIA,1,0,1,0,1,0,1,1,0,0,0,dauer_decreased
ASJ,AIM,0,0,1,0,0,0,0,0,2,1,5,dauer_increased
ASJ,ASG,0,0,0,0,0,0,1,0,1,1,3,maintained
ASJ,ASK,1,4,6,6,9,5,11,8,8,3,13,maintained
ASJ,AVF,0,0,0,0,1,0,0,0,5,3,2,dauer_increased
ASJ,PVQ,5,10,10,15,16,16,24,27,18,18,19,maintained
ASK,ADA,0,0,1,0,0,0,0,1,1,2,2,maintained
ASK,ADL,0,0,0,0,0,1,4,4,0,4,2,maintained
ASK,AIA,5,11,12,14,22,30,42,56,21,18,13,dauer_decreased
ASK,AIB,0,0,0,4,0,6,15,12,2,0,3,maintained
ASK,AIM,0,0,1,0,4,10,12,14,12,10,10,maintained
ASK,ALA,0,0,0,0,0,0,0,0,10,9,6,dauer_increased
ASK,ASJ,0,1,0,0,0,1,0,0,2,1,2,maintained
ASK,AVJ,0,0,0,0,0,0,1,0,5,6,3,dauer_increased
ASK,RIP,0,0,0,0,0,0,0,0,1,1,3,dauer_increased
AUA,AVA,0,2,4,3,6,7,11,15,8,4,2,maintained
AUA,AVD,0,0,0,0,1,2,2,0,2,1,1,maintained
AUA,AVE,2,4,6,9,4,6,21,20,4,4,12,maintained
AUA,BAG,0,0,0,0,0,0,1,0,3,1,2,dauer_increased
AUA,RIA,3,5,12,13,13,14,32,38,22,16,21,maintained
AUA,RIB,5,8,14,20,13,16,43,33,26,18,29,maintained
AUA,URX,1,0,5,2,3,0,3,5,3,1,3,maintained
AVB,AVA,0,0,0,0,0,0,0,0,1,2,1,dauer_increased
AVF,ADA,0,0,0,0,0,0,1,0,1,4,1,maintained
AVF,AVB,0,0,0,0,2,3,6,5,0,0,8,maintained
AVF,AVF,0,0,0,0,3,2,3,7,7,2,0,maintained
AVF,AVH,0,0,0,0,0,0,0,1,3,1,1,maintained
AVF,AVJ,0,0,0,0,0,0,2,1,1,1,3,maintained
AVF,BDU,0,0,0,0,1,0,2,4,2,1,0,maintained
AVF,PVQ,0,0,0,0,8,0,1,4,2,2,0,maintained
AVF,RIF,0,0,0,0,1,0,2,5,3,3,1,maintained
AVF,RMG,0,0,0,0,1,0,0,0,8,6,1,maintained
AVF,SMBV,0,0,0,0,0,0,0,1,1,2,1,maintained
AVH,ADF,1,2,4,5,7,5,3,6,3,3,1,maintained
AVH,ADL,1,1,0,1,1,1,1,1,0,0,0,dauer_decreased
AVH,AIM,0,0,0,0,1,0,0,0,1,1,1,maintained
AVH,ALA,0,0,0,0,0,0,0,0,2,1,1,dauer_increased
AVH,AQR,0,0,0,0,0,1,2,0,1,1,1,maintained
AVH,ASH,0,1,1,2,0,1,2,1,0,1,0,maintained
AVH,AVA,0,1,0,1,0,1,3,1,4,2,2,maintained
AVH,AVB,0,1,0,0,3,0,1,5,11,7,12,dauer_increased
AVH,AVF,0,0,0,0,1,0,0,0,3,1,3,maintained
AVH,AVJ,0,0,0,1,2,0,2,4,11,10,9,dauer_increased
AVH,AWB,0,3,3,8,11,1,5,6,1,1,0,maintained
AVH,DVA,1,0,1,1,2,2,5,1,1,3,2,maintained
AVH,IL2D,0,0,0,0,0,0,0,0,1,1,1,dauer_increased
AVH,PVC,0,0,0,0,0,0,2,1,4,1,2,maintained
AVH,PVP,0,1,1,1,3,2,7,5,4,2,3,maintained
AVH,RIC,0,0,0,0,0,0,0,0,1,1,1,dauer_increased
AVH,RIF,1,0,0,1,1,0,1,0,4,2,1,maintained
AVH,RIM,0,0,0,0,1,1,1,1,4,2,0,maintained
AVH,RIP,0,0,0,0,0,0,0,0,3,4,3,dauer_increased
AVH,RIR,0,0,3,1,3,6,7,13,3,5,4,maintained
AVH,SMBD,0,0,0,0,1,0,2,3,0,0,0,dauer_decreased
AVH,SMBV,0,1,0,3,3,2,4,7,3,3,0,maintained
AVH,URAD,0,0,0,0,0,0,0,0,1,1,1,dauer_increased
AVH,URX,0,0,1,1,2,5,2,1,5,5,2,maintained
AVJ,ADA,0,0,0,0,0,0,1,0,2,3,1,dauer_increased
AVJ,ADL,0,0,0,0,0,0,0,0,2,1,1,dauer_increased
AVJ,AVA,0,0,0,0,0,0,1,1,8,11,7,dauer_increased
AVJ,AVB,1,0,2,4,7,6,11,7,22,19,15,dauer_increased
AVJ,AVD,1,0,0,1,0,1,0,1,6,12,5,dauer_increased
AVJ,AVH,0,1,0,0,0,0,0,0,3,1,3,dauer_increased
AVJ,AVM,0,0,0,0,0,1,2,2,2,5,0,maintained
AVJ,PVC,2,1,0,3,4,4,8,4,10,6,1,maintained
AVJ,RIP,0,0,0,0,0,0,0,0,4,1,1,dauer_increased
AVJ,RIS,0,0,0,0,2,4,1,1,2,2,0,maintained
AVK,AIB,1,2,0,2,2,0,3,0,5,2,5,maintained
AVK,AVE,4,3,5,5,7,4,8,7,5,4,2,maintained
AVK,AVK,0,1,0,2,1,0,0,4,4,4,6,maintained
AVK,AVL,0,0,0,0,1,0,3,1,0,0,0,dauer_decreased
AVK,RIG,2,0,1,0,2,1,5,0,3,4,3,maintained
AVK,RIM,5,8,8,7,10,9,14,14,13,7,12,maintained
AVK,RIS,0,0,2,3,2,0,6,11,6,3,2,maintained
AVK,RIV,0,1,0,0,0,1,3,3,1,2,2,maintained
AVK,RMDL/R,1,3,3,2,5,3,6,12,13,5,2,maintained
AVK,RMF,0,0,0,0,0,0,2,2,8,2,1,maintained
AVK,SAAD,0,4,2,2,7,2,4,4,4,0,1,maintained
AVK,SAAV,1,3,2,1,1,2,3,2,2,0,0,maintained
AVK,SIAD,0,0,0,1,1,0,0,2,3,3,1,maintained
AVK,SMDD,0,0,0,0,0,1,2,3,5,4,3,dauer_increased
AVK,SMDV,0,0,1,1,0,2,4,2,5,2,3,maintained
AVL,RIS,0,0,1,2,2,0,1,1,0,0,1,maintained
AVL,RMEL/R,0,1,2,2,2,0,1,1,1,1,1,maintained
AVM,AVB,0,0,0,0,6,10,14,13,17,17,2,maintained
AVM,AVD,0,0,0,0,3,1,3,1,2,4,0,maintained
AVM,AVJ,0,0,0,0,1,4,5,6,1,5,1,maintained
AVM,BDU,0,0,0,0,1,2,6,5,0,0,1,maintained
AVM,PVC,0,0,0,0,2,6,13,16,19,15,2,maintained
AWA,ADF,2,0,1,0,1,4,3,3,2,2,8,maintained
AWA,ADL,3,2,5,3,2,1,1,3,0,3,1,maintained
AWA,AFD,0,0,0,1,5,4,9,11,11,8,4,maintained
AWA,AIA,3,2,2,2,4,0,4,4,3,3,3,maintained
AWA,AIB,0,0,0,0,0,0,1,0,3,4,5,dauer_increased
AWA,AIY,2,1,1,2,2,3,7,9,12,8,10,maintained
AWA,AIZ,0,2,4,7,13,12,26,26,17,17,21,maintained
AWA,ASE,2,4,4,6,7,4,10,12,11,11,17,maintained
AWA,ASH,0,0,0,0,0,3,3,2,8,6,6,dauer_increased
AWA,AVJ,0,0,0,0,0,0,0,0,8,6,6,dauer_increased
AWA,AWB,5,5,8,10,12,9,9,11,8,4,11,maintained
AWA,RIF,0,0,0,0,0,1,5,1,5,3,2,maintained
AWA,RIP,0,0,0,0,0,0,0,0,10,9,15,dauer_increased
AWA,RIR,0,0,0,0,0,0,0,0,5,6,5,dauer_increased
AWB,ADA,0,0,0,0,0,0,0,0,5,7,3,dauer_increased
AWB,ADF,3,3,6,12,12,17,23,21,2,4,4,dauer_decreased
AWB,AIA,1,2,0,0,1,0,1,5,2,2,2,maintained
AWB,AIB,0,0,0,0,0,0,0,0,6,3,3,dauer_increased
AWB,AIM,0,0,0,0,0,0,0,1,2,1,2,dauer_increased
AWB,AIY,0,0,0,0,0,1,1,1,5,2,4,dauer_increased
AWB,AIZ,3,4,5,4,12,15,13,14,6,5,7,dauer_decreased
AWB,ASH,0,0,0,2,1,1,0,1,2,2,2,dauer_increased
AWB,AUA,0,0,0,1,0,1,1,2,2,0,1,maintained
AWB,RIA,0,0,0,1,1,3,3,2,2,3,0,maintained
AWB,RIG,0,0,0,0,1,3,2,4,0,0,0,dauer_decreased
AWB,SMBV,0,0,1,2,1,2,2,3,1,2,0,maintained
AWC,ADA,0,0,0,0,0,0,0,0,3,1,2,dauer_increased
AWC,AIA,10,7,9,10,15,13,22,22,20,16,7,maintained
AWC,AIB,11,10,15,20,24,22,22,29,26,22,10,maintained
AWC,AIY,4,11,12,14,20,17,25,34,31,29,20,maintained
AWC,AIZ,0,1,0,0,4,2,2,3,6,4,5,maintained
AWC,ASE,1,4,4,8,7,3,7,6,5,2,4,maintained
AWC,ASI,0,0,0,0,2,1,1,2,3,0,0,maintained
AWC,AWC,2,7,5,8,19,14,24,22,8,6,9,dauer_decreased
AWC,RIR,0,0,0,0,0,0,0,0,7,13,7,dauer_increased
BAG,AVA,0,0,0,0,1,2,4,11,4,8,10,maintained
BAG,AVE,2,2,0,7,15,13,11,19,4,1,8,dauer_decreased
BAG,RIA,4,6,6,7,10,18,26,35,14,13,14,maintained
BAG,RIB,5,6,5,12,21,22,19,37,16,10,22,maintained
BAG,RID,0,0,0,0,0,0,2,0,6,5,4,dauer_increased
BAG,RIG,0,2,2,3,5,5,12,7,11,5,11,maintained
BAG,RIR,0,0,0,0,0,0,0,1,1,1,2,maintained
BAG,RMF,0,0,0,0,0,0,9,6,9,2,4,maintained
BDU,ALM,1,1,0,1,4,3,7,4,2,3,0,maintained
BDU,AVB,0,0,2,0,1,1,2,0,5,3,7,dauer_increased
BDU,AVF,0,0,0,0,1,1,1,8,5,3,2,maintained
BDU,AVJ,1,1,3,1,4,4,8,3,6,6,3,maintained
BDU,AVM,0,0,0,0,3,2,1,2,1,0,1,maintained
BDU,BDU,1,0,0,0,0,0,0,0,1,2,1,dauer_increased
BDU,PVC,0,2,1,3,3,0,4,1,1,0,0,maintained
BDU,PVQ,0,0,0,0,0,0,1,0,3,2,2,dauer_increased
BDU,PVW,0,0,0,0,0,0,7,16,4,6,5,maintained
BDU,RIF,1,0,2,0,2,0,4,0,4,1,3,maintained
BDU,RIP,0,0,0,0,0,0,0,0,13,14,4,dauer_increased
BDU,URAD,0,0,1,0,0,2,2,1,0,0,0,dauer_decreased
CEPD,ADA,1,2,0,1,0,0,0,0,1,3,1,dauer_increased
CEPD,AVB,0,0,0,0,0,0,2,0,2,1,1,maintained
CEPD,AVE,2,6,8,9,11,8,15,17,12,7,10,maintained
CEPD,IL1D,0,1,1,4,5,10,7,12,1,0,1,dauer_decreased
CEPD,OLL,2,5,9,11,11,7,14,25,14,9,15,maintained
CEPD,OLQD,0,3,2,3,9,11,13,11,2,1,2,dauer_decreased
CEPD,RIB,0,0,0,0,2,2,4,2,3,1,0,maintained
CEPD,RIC,5,10,6,8,9,10,15,16,21,12,14,maintained
CEPD,RIP,0,0,1,0,2,2,2,1,0,0,0,dauer_decreased
CEPD,RIS,0,0,0,0,0,1,2,2,1,0,0,maintained
CEPD,RMDD,0,0,0,1,0,1,1,2,2,1,0,maintained
CEPD,RMDV,0,2,6,9,11,6,9,16,9,4,8,maintained
CEPD,RMF,0,0,0,0,0,0,0,0,3,5,3,dauer_increased
CEPD,RMH,0,0,0,0,2,1,9,8,7,14,7,maintained
CEPD,SIAD,0,0,0,0,0,1,2,2,2,3,1,maintained
CEPD,SIAV,0,0,0,0,0,0,0,0,1,1,1,dauer_increased
CEPD,SMBD,0,0,0,0,1,0,4,1,6,3,4,maintained
CEPD,URAD,0,2,2,0,3,3,4,2,0,0,0,dauer_decreased
CEPD,URB,2,2,1,4,4,2,4,5,8,5,6,maintained
CEPD,URYD,1,2,0,2,1,7,6,3,0,0,0,dauer_decreased
CEPV,AVE,5,6,2,9,9,9,11,13,10,8,13,maintained
CEPV,IL1V,0,0,1,3,4,6,7,8,1,0,1,dauer_decreased
CEPV,OLL,6,8,6,11,11,12,17,20,13,12,15,maintained
CEPV,OLQV,1,2,4,6,10,11,11,12,0,2,1,dauer_decreased
CEPV,PLN,0,0,0,0,0,0,0,1,2,1,1,maintained
CEPV,PVR,0,0,1,0,2,0,2,2,0,0,0,dauer_decreased
CEPV,RIB,0,0,0,0,0,2,0,2,1,2,1,maintained
CEPV,RIC,6,9,8,7,11,14,17,16,22,14,13,maintained
CEPV,RIP,0,0,2,3,2,2,2,3,0,0,0,dauer_decreased
CEPV,RMDD,0,2,4,6,7,7,15,15,7,5,5,maintained
CEPV,RMDL/R,0,0,0,0,0,1,1,1,1,0,0,maintained
CEPV,RMF,0,0,0,0,0,0,0,0,1,3,2,dauer_increased
CEPV,RMH,0,0,0,0,5,7,10,7,5,8,8,maintained
