,connector_id,x,y,z,pre_skid,pre_node,post_skid,post_node,pre,post,pre_pair,post_pair
104,8417762,58056.0,34160.0,8460.0,1855712,8315951,1852827,8244938,ADAR,SMDVL,ADA,SMDV
105,8417621,53851.0,30953.0,12030.0,1856489,8335026,1857421,8352725,ADEL,RIGL,ADE,RIG
106,8417621,53851.0,30953.0,12030.0,1856489,8335026,1856682,8336085,ADEL,ADER,ADE,ADE
107,8417623,54563.0,31343.0,12510.0,1856489,8335010,1857421,8352709,ADEL,RIGL,ADE,RIG
108,8417623,54563.0,31343.0,12510.0,1856489,8335010,1856682,8336102,ADEL,ADER,ADE,ADE
109,8417634,57015.0,32761.0,12840.0,1856489,8334986,1857421,8352680,ADEL,RIGL,ADE,RIG
110,8417634,57015.0,32761.0,12840.0,1856489,8334986,1856682,8336113,ADEL,ADER,ADE,ADE
111,8417634,57015.0,32761.0,12840.0,1856489,8334986,1852778,8243523,ADEL,AVAR,ADE,AVA
112,8417614,51474.0,29970.0,10860.0,1856489,8335065,1859368,8402530,ADEL,ADAL,ADE,ADA
113,8417614,51474.0,29970.0,10860.0,1856489,8335065,1852778,8243454,ADEL,AVAR,ADE,AVA
114,8417650,39020.0,20864.0,14850.0,1858222,8375769,1858754,8387563,ADEL,Fragment,ADE,Fragment
115,8417650,39020.0,20864.0,14850.0,1858222,8375769,1858882,8390506,ADEL,CEPDL,ADE,CEPD
116,8471638,39264.0,21456.0,15150.0,1858222,8375698,1855433,8309708,ADEL,RMHR,ADE,RMH
117,8471638,39264.0,21456.0,15150.0,1858222,8375698,1858882,8390516,ADEL,CEPDL,ADE,CEPD
118,8417657,41588.0,18526.0,16230.0,1858222,8375659,1852827,8244051,ADEL,SMDVL,ADE,SMDV
119,8417657,41588.0,18526.0,16230.0,1858222,8375659,1858797,8389010,ADEL,IL1L,ADE,IL1L/R
120,8417657,41588.0,18526.0,16230.0,1858222,8375659,1856669,8335689,ADEL,CEPshDR,ADE,CEPshD
121,8417656,41312.0,19426.0,15360.0,1858222,8375688,1858943,8391511,ADEL,IL2L,ADE,IL2L/R
122,8417995,54237.0,31147.0,12390.0,1856489,8335014,1857421,8352713,ADEL,RIGL,ADE,RIG
123,8417612,51794.0,30482.0,10500.0,1856489,8335075,1855391,8308727,ADEL,AVAL,ADE,AVA
124,8417612,51794.0,30482.0,10500.0,1856489,8335075,1852778,8243636,ADEL,AVAR,ADE,AVA
125,8417612,51794.0,30482.0,10500.0,1856489,8335075,1857421,8352791,ADEL,RIGL,ADE,RIG
126,8417618,52390.0,30822.0,11070.0,1856489,8335058,1857421,8352762,ADEL,RIGL,ADE,RIG
127,8417618,52390.0,30822.0,11070.0,1856489,8335058,1857376,8352385,ADEL,AVKR,ADE,AVK
128,8417549,59356.0,34056.0,8070.0,1856489,8335373,1854786,8290870,ADEL,RIGR,ADE,RIG
129,8417550,57314.0,33612.0,7950.0,1856489,8335348,1854786,8290874,ADEL,RIGR,ADE,RIG
130,8417551,56982.0,33496.0,7800.0,1856489,8335343,1854786,8290879,ADEL,RIGR,ADE,RIG
131,8417609,55954.0,33160.0,7620.0,1856489,8335337,1854786,8290887,ADEL,RIGR,ADE,RIG
132,8417625,55016.0,32570.0,7620.0,1856489,8335177,1854786,8290887,ADEL,RIGR,ADE,RIG
133,8417992,57716.0,33760.0,7920.0,1856489,8335347,1854786,8290875,ADEL,RIGR,ADE,RIG
134,8417994,53504.0,31592.0,9300.0,1856489,8335280,1854786,8290945,ADEL,RIGR,ADE,RIG
135,8417626,54622.0,32282.0,7950.0,1856489,8335166,1854786,8290900,ADEL,RIGR,ADE,RIG
136,8417552,53778.0,31648.0,8850.0,1856489,8335295,1856682,8335979,ADEL,ADER,ADE,ADE
137,8417552,53778.0,31648.0,8850.0,1856489,8335295,1854786,8290930,ADEL,RIGR,ADE,RIG
138,8417993,56488.0,33390.0,7800.0,1856489,8335343,2096429,8267868,ADEL,Fragment,ADE,Fragment
139,8417993,56488.0,33390.0,7800.0,1856489,8335343,1854786,8290879,ADEL,RIGR,ADE,RIG
140,8417548,60008.0,34052.0,8220.0,1856489,8335378,1856451,8333542,ADEL,PVT,ADE,PVT
141,8417548,60008.0,34052.0,8220.0,1856489,8335378,1854786,8290860,ADEL,RIGR,ADE,RIG
142,8417547,60666.0,33984.0,8280.0,1856489,8335380,1856375,8332317,ADEL,SAADR,ADE,SAAD
143,8417547,60666.0,33984.0,8280.0,1856489,8335380,1854786,8290858,ADEL,RIGR,ADE,RIG
144,8417630,49250.0,29290.0,9150.0,1856489,8335122,1859269,8399798,ADEL,RIVR,ADE,RIV
145,8417630,49250.0,29290.0,9150.0,1856489,8335122,1855972,8321675,ADEL,RIVL,ADE,RIV
146,8417628,49624.0,29466.0,8910.0,1856489,8335130,1853942,8268621,ADEL,RMFR,ADE,RMF
147,8417628,49624.0,29466.0,8910.0,1856489,8335130,1859269,8399806,ADEL,RIVR,ADE,RIV
148,8417660,39788.0,22970.0,15840.0,1858222,8375721,1858998,8392284,ADEL,RMDL,ADE,RMDL/R
149,8417631,52588.0,30926.0,8880.0,1856489,8335192,1853942,8268477,ADEL,RMFR,ADE,RMF
150,8417661,40020.0,22888.0,15720.0,1858222,8375717,1858998,8392280,ADEL,RMDL,ADE,RMDL/R
151,8417661,40020.0,22888.0,15720.0,1858222,8375717,1853942,8269519,ADEL,RMFR,ADE,RMF
152,8417664,40348.0,22560.0,15600.0,1858222,8375713,1858998,8392276,ADEL,RMDL,ADE,RMDL/R
153,8417664,40348.0,22560.0,15600.0,1858222,8375713,1853942,8269523,ADEL,RMFR,ADE,RMF
154,8471710,39758.0,22914.0,15990.0,1858222,8375726,1855433,8309663,ADEL,RMHR,ADE,RMH
155,8471710,39758.0,22914.0,15990.0,1858222,8375726,1859449,8405108,ADEL,CEPVL,ADE,CEPV
156,8471637,40788.0,19532.0,14940.0,1858222,8375766,1856168,8326059,ADEL,RMDDR,ADE,RMDD
157,8471637,40788.0,19532.0,14940.0,1858222,8375766,1856419,8333185,ADEL,SMBDR,ADE,SMBD
158,8471637,40788.0,19532.0,14940.0,1858222,8375766,1856375,8332051,ADEL,SAADR,ADE,SAAD
159,8417655,41004.0,20556.0,15120.0,1858222,8375760,1858195,8375307,ADEL,RIFL,ADE,RIF
160,8417655,41004.0,20556.0,15120.0,1858222,8375760,1857098,8343985,ADEL,SDQL,ADE,SDQ
161,8417646,40836.0,19656.0,14700.0,1858222,8375776,1856168,8326067,ADEL,RMDDR,ADE,RMDD
162,8417646,40836.0,19656.0,14700.0,1858222,8375776,1856419,8333177,ADEL,SMBDR,ADE,SMBD
163,8417684,41928.0,18252.0,15810.0,1858222,8375673,1859176,8396467,ADEL,ALNL,ADE,ALN
164,8417684,41928.0,18252.0,15810.0,1858222,8375673,1856212,8327154,ADEL,SMDDR,ADE,SMDD
165,8417715,58186.0,33980.0,7980.0,1856682,8335931,1856489,8335349,ADER,ADEL,ADE,ADE
166,8417715,58186.0,33980.0,7980.0,1856682,8335931,1854786,8290873,ADER,RIGR,ADE,RIG
167,8417713,53568.0,31712.0,8640.0,1856682,8335972,1855391,8308547,ADER,AVAL,ADE,AVA
168,8417713,53568.0,31712.0,8640.0,1856682,8335972,1854786,8290923,ADER,RIGR,ADE,RIG
169,8417713,53568.0,31712.0,8640.0,1856682,8335972,1856489,8335302,ADER,ADEL,ADE,ADE
170,8417716,58440.0,34102.0,8250.0,1856682,8335925,1855391,8308601,ADER,AVAL,ADE,AVA
171,8417716,58440.0,34102.0,8250.0,1856682,8335925,1855712,8315963,ADER,ADAR,ADE,ADA
172,8417714,54746.0,32828.0,8040.0,1856682,8335952,1856937,8340594,ADER,SAAVL,ADE,SAAV
173,8417714,54746.0,32828.0,8040.0,1856682,8335952,1855391,8308567,ADER,AVAL,ADE,AVA
174,8417687,38280.0,23315.0,5310.0,1854039,8271884,1852675,8241858,ADER,RMFL,ADE,RMF
175,8417687,38280.0,23315.0,5310.0,1854039,8271884,1855306,8305713,ADER,CEPDR,ADE,CEPD
176,8417693,40264.0,23067.0,4770.0,1854039,8271827,1855917,8319644,ADER,CEPshVR,ADE,CEPshV
177,8417693,40264.0,23067.0,4770.0,1854039,8271827,1854322,8278892,ADER,AVER,ADE,AVE
178,8471644,38688.0,23743.0,5580.0,1854039,8271893,1914002,8471645,ADER,CEPshVR,ADE,CEPshV
179,8471644,38688.0,23743.0,5580.0,1854039,8271893,1855951,8320576,ADER,CEPVR,ADE,CEPV
180,8417686,39116.0,23619.0,5490.0,1854039,8271890,1855877,8319139,ADER,PVR,ADE,PVR
181,8417686,39116.0,23619.0,5490.0,1854039,8271890,1856663,8335687,ADER,CEPshVR,ADE,CEPshV
182,8417688,38848.0,22704.0,5220.0,1854039,8271881,1855877,8319148,ADER,PVR,ADE,PVR
183,8417688,38848.0,22704.0,5220.0,1854039,8271881,1856660,8335686,ADER,CEPshVR,ADE,CEPshV
184,8417694,40216.0,22883.0,4650.0,1854039,8271823,1855917,8319640,ADER,CEPshVR,ADE,CEPshV
185,8417694,40216.0,22883.0,4650.0,1854039,8271823,1855492,8310853,ADER,SMBVR,ADE,SMBV
186,8417698,39494.0,21452.0,2490.0,1854039,8271752,1855695,8315656,ADER,IL1R,ADE,IL1L/R
187,8417698,39494.0,21452.0,2490.0,1854039,8271752,1859269,8398660,ADER,RIVR,ADE,RIV
188,8417692,38480.0,23347.0,4890.0,1854039,8271839,1855695,8315740,ADER,IL1R,ADE,IL1L/R
189,8417692,38480.0,23347.0,4890.0,1854039,8271839,1854217,8276793,ADER,IL2R,ADE,IL2L/R
190,8417696,39712.0,21925.0,3900.0,1854039,8271799,1855695,8315702,ADER,IL1R,ADE,IL1L/R
191,8417696,39712.0,21925.0,3900.0,1854039,8271799,1854217,8276751,ADER,IL2R,ADE,IL2L/R
