,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
DVA,13,24,19,28,45,54,94,80,58,77,58,sensory
DVC,10,21,15,33,42,40,93,105,80,71,77,modulatory
FLP,5,15,27,23,43,44,95,76,34,71,48,sensory
HSN,0,0,0,0,0,0,88,69,0,0,0,modulatory
IL1D,12,24,24,22,33,47,73,97,67,57,47,motor
IL1L/R,22,28,36,32,45,54,93,73,80,84,56,motor
IL1V,13,21,20,22,31,37,65,69,76,47,33,motor
IL2D,12,23,29,37,47,52,100,124,62,38,26,sensory
IL2L/R,20,30,40,35,45,60,102,107,68,62,58,sensory
IL2V,13,30,27,28,51,64,99,111,60,42,28,sensory
OLL,37,67,91,113,154,165,264,295,247,200,213,sensory
OLQD,13,27,24,23,35,47,96,90,65,54,55,sensory
OLQV,23,26,25,33,46,58,89,91,63,71,54,sensory
PLN,0,0,0,0,0,0,35,46,56,67,17,sensory
PVC,18,17,25,48,54,105,149,164,117,122,46,inter
PVP,15,27,12,14,52,53,85,89,63,73,69,inter
PVQ,21,36,27,43,57,63,74,93,93,79,65,modulatory
PVR,12,11,18,33,55,9,63,61,40,49,39,inter
PVT,8,15,16,28,42,39,70,79,44,39,39,inter
PVW,0,0,0,0,0,0,66,61,92,67,53,inter
RIA,161,237,295,429,574,618,878,1067,686,605,689,inter
RIB,61,94,111,148,185,174,276,346,235,212,250,inter
RIC,40,60,44,71,95,115,181,166,163,103,95,modulatory
RID,2,4,4,7,3,10,22,19,22,25,14,modulatory
RIF,21,37,32,37,55,57,110,102,108,105,95,inter
RIG,34,55,53,88,107,116,236,260,151,157,201,inter
RIH,34,45,62,40,84,101,144,141,158,130,85,inter
RIM,77,118,123,148,219,244,393,391,237,231,235,inter
RIP,30,49,59,68,95,81,123,146,103,88,80,inter
RIR,15,36,43,48,61,82,111,133,87,91,84,inter
RIS,18,22,33,51,57,71,116,134,96,72,111,modulatory
RIV,9,18,21,45,45,56,78,92,62,78,73,motor
RMDD,64,85,101,112,158,179,273,276,223,194,190,motor
RMDL/R,53,82,110,137,188,209,277,353,280,260,250,motor
RMDV,70,99,103,107,170,196,288,309,215,187,192,motor
RMED,19,22,27,20,19,34,40,35,58,58,38,motor
RMEL/R,28,41,43,37,48,50,77,75,60,66,51,motor
RMEV,17,21,24,19,30,29,33,36,62,61,36,motor
RMF,0,0,0,0,1,53,141,177,132,125,130,motor
RMG,15,26,27,27,55,52,108,81,102,83,78,modulatory
RMH,0,0,0,14,44,37,88,86,157,130,119,motor
SAAD,27,27,37,55,73,64,130,139,103,95,91,sensory
SAAV,15,36,32,46,83,84,163,164,104,90,87,sensory
SDQ,0,0,0,5,18,37,56,43,48,61,37,sensory
SIAD,2,9,6,13,17,13,32,39,29,32,26,motor
SIAV,6,11,3,11,22,23,44,40,34,36,21,motor
SIBD,2,5,6,11,15,13,26,33,24,23,24,motor
SIBV,3,10,3,6,14,16,21,28,31,29,33,motor
SMBD,15,21,22,33,52,60,93,96,53,69,52,motor
SMBV,19,26,24,44,60,56,110,121,86,93,48,motor
SMDD,63,80,87,113,139,179,209,254,172,187,196,motor
SMDV,43,91,72,124,125,156,227,227,196,169,230,motor
URAD,11,17,22,23,36,31,34,52,54,50,43,motor
URAV,12,23,12,21,42,40,45,48,53,53,36,motor
URB,14,18,19,28,46,41,98,81,85,85,90,sensory
URX,29,40,54,71,118,108,230,197,97,76,73,sensory
URYD,19,27,23,24,49,56,100,113,81,41,49,sensory
URYV,22,33,20,35,45,56,79,122,85,65,80,sensory
