pre,post,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,edge_class
ADF,ASG,0,0,0,0,0,0,1,0,0,0,0,Recurrent
ADF,ASH,0,0,1,1,1,0,0,1,0,5,1,Recurrent
ADF,AUA,4,3,3,4,8,7,13,3,9,5,4,Recurrent
ADF,AVA,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
ADF,AVB,0,0,0,0,0,0,0,0,2,1,2,Feed-forward
ADF,AVE,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ADF,AVF,0,0,0,0,0,0,0,0,2,1,1,Feed-forward
ADF,AVH,1,3,0,0,1,0,2,1,4,5,1,Feed-forward
ADF,AVJ,0,0,0,0,0,0,0,0,10,11,6,Feed-forward
ADF,AWA,0,0,1,0,0,0,0,0,1,0,0,Recurrent
ADF,AWB,0,0,1,0,0,0,2,2,4,6,3,Recurrent
ADF,BAG,0,0,0,0,0,0,0,1,0,0,0,Recurrent
ADF,DVA,0,1,0,0,1,0,0,0,1,0,0,Recurrent
ADF,IL2L/R,0,0,0,0,0,0,0,0,0,1,0,Recurrent
ADF,OLQV,0,0,0,0,1,1,1,2,1,0,0,Recurrent
ADF,PVQ,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ADF,RIA,4,7,8,15,20,19,35,29,14,12,3,Feed-forward
ADF,RIC,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ADF,RIF,0,0,0,0,0,0,0,0,4,4,2,Feed-forward
ADF,RIG,0,0,0,1,4,5,9,7,0,0,0,Feed-forward
ADF,RIH,0,0,0,0,0,0,0,1,0,1,0,Feed-forward
ADF,RIM,0,0,0,1,0,0,0,0,0,0,0,Feed-forward
ADF,RIP,0,0,0,0,0,0,0,0,3,6,3,Feed-forward
ADF,RIR,0,3,0,2,4,0,6,7,3,2,2,Feed-forward
ADF,SIBD,0,1,0,0,0,0,0,0,0,0,0,Feed-forward
ADF,SIBV,0,1,0,0,1,1,1,1,0,2,0,Feed-forward
ADF,SMBD,0,1,1,0,4,4,1,1,0,0,0,Feed-forward
ADF,SMBV,0,1,3,5,7,6,12,8,1,1,2,Feed-forward
ADF,URX,1,0,1,1,0,1,4,2,2,1,0,Recurrent
ADF,URYV,0,0,0,0,0,0,1,0,0,0,0,Recurrent
ADL,ADA,1,0,3,4,3,1,0,2,5,3,1,Feed-forward
ADL,ADF,0,0,0,0,0,0,0,0,0,0,1,Recurrent
ADL,AIA,4,4,7,10,8,11,14,21,12,12,11,Feed-forward
ADL,AIB,5,2,8,9,13,11,24,30,10,15,12,Feed-forward
ADL,AIM,0,0,0,0,0,0,0,0,2,1,1,Feed-forward
ADL,AIN,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ADL,ALA,0,0,0,0,0,0,0,0,2,0,0,Feed-forward
ADL,ASE,1,0,4,0,5,3,10,3,1,3,1,Recurrent
ADL,ASG,0,0,0,0,0,0,0,1,0,0,0,Recurrent
ADL,ASH,0,0,1,4,6,3,11,12,1,0,2,Recurrent
ADL,ASI,0,0,0,0,0,0,0,0,3,2,2,Recurrent
ADL,ASJ,0,0,0,1,0,0,0,0,0,0,0,Recurrent
ADL,ASK,8,5,6,9,6,5,2,5,4,1,6,Recurrent
ADL,AVA,0,0,0,7,2,4,10,30,6,6,0,Feed-forward
ADL,AVB,0,0,0,0,0,1,2,1,0,0,0,Feed-forward
