Unnamed: 1,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
IL2D,0,235900,200,10800,0,0,0,0,94800,132400,37200,0,366800,0,0,0,181400,268600,57200,0,0,240200,0,0,3618700,0,0,108200,717700,0,178100,871700,2924600,0,442200,0,143200,224400,0,229200,763500,523800,1107200,238000,96400,1004800,55600,0,2800,180600,0,1200,41500,1124600,2639000,0,4806400,0,5304500,0,0,497500,226600,0,88800,1018300,1672800,594100,6400,32100,0,0,50400,159000,196700,0,174600,113700,5079200,0,0,1200,323600,94300,255300,621800,78200,264200,3549400,0,0,361900,0,500900,54600,227200,0,78200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2L/R,1228700,403700,422300,0,0,0,1200,0,0,262100,196000,0,2896500,0,0,500,135400,97000,806800,0,240200,0,1039600,4032100,1432700,1525400,0,185800,0,0,4545900,5002200,3800,131500,255300,0,184200,390700,1995800,261400,0,0,18000,107200,0,700900,0,62800,0,0,209200,747400,258200,0,4103000,0,148100,2207100,122500,4012500,231800,528600,44400,0,0,1091800,4286400,1045000,0,497500,0,0,0,229500,0,447100,0,247400,673200,1106000,2655800,613900,436300,1116700,39000,0,0,0,0,0,0,0,1800,0,0,0,417100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2V,0,0,0,0,0,42400,0,0,0,0,0,0,0,0,0,0,0,50900,402800,0,0,1039600,0,0,0,2617600,0,510600,0,0,187400,62600,0,2244200,174400,0,91400,0,0,0,124200,291800,439300,0,0,1922300,25000,0,0,201100,652200,130900,0,746200,1401700,193100,2382700,158000,0,0,3773700,0,66200,0,0,543200,2435600,775200,2400,35200,98600,85900,59200,413900,213000,0,0,0,0,3829700,0,0,0,0,0,28600,59900,160600,0,3162000,0,0,0,368200,0,0,0,0,130000,0,17000,0,0,0,0,0,0,0,0,0,0,0,0
OLL,0,389000,345200,0,327200,43800,0,0,0,277600,91600,0,29000,0,0,0,56800,0,0,0,0,4032100,0,879600,859200,3845000,0,1612500,81500,0,5072800,2401800,165800,262600,152800,0,875500,215200,138400,0,23000,0,385600,8962000,0,313000,0,0,0,243900,2600,3326900,0,3819400,72800,46300,0,0,5741000,3408300,7492600,0,5420800,987300,4311500,2913400,3562500,4154200,1760200,26500,44700,310400,287100,178000,105900,238500,2980700,3079200,57600,29900,0,30200,201800,195000,0,261000,3000,0,2914000,3536200,0,0,0,98200,0,4200,30700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQD,0,546800,0,0,19400,0,0,0,0,596200,117800,0,7800,0,0,0,123200,413200,0,0,3618700,1432700,0,859200,0,0,0,170600,0,0,178300,0,8378400,0,1300,59000,3200,560400,0,12600,93200,2300,371400,534100,0,237500,0,0,416400,455700,0,858700,0,897800,3055900,0,1174900,0,5422700,0,0,0,3869400,0,1115500,4357000,2994200,111200,33600,1430000,430500,0,0,2460700,3617000,0,141300,141800,713600,0,0,184800,339000,159500,233200,16000,119600,221400,2372200,0,0,0,0,2562200,281600,598800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQV,162400,0,0,0,0,0,0,0,0,0,0,0,117900,0,0,0,0,174600,31600,0,0,1525400,2617600,3845000,0,0,254500,0,0,0,589600,314100,0,2616500,405600,0,0,112500,0,0,0,8200,75100,278100,0,331400,15200,44600,0,933200,73800,1383000,0,1089600,4695800,0,972900,227400,0,0,2997000,0,590600,4600,3902100,378700,1537700,324200,296400,1403000,0,68200,2979600,0,45400,2353800,0,0,0,1235100,0,320600,0,0,109600,213700,656200,349300,0,1466700,0,0,0,2049200,0,596600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15200,0,0,0,0,0,0,254500,0,5743600,892600,70200,0,0,0,0,0,0,1300,0,0,0,207000,0,0,0,0,0,0,0,0,0,0,0,0,1693600,0,744300,0,0,0,0,0,1360600,0,323800,2586400,0,0,0,1306300,3955900,0,2740300,2041900,118800,0,8954700,287600,1847100,0,0,0,0,0,0,0,0,488600,0,0,319500,0,0,0,3053400,36500,175400,4294800,0,0,0,0,0,0,0,0,0,0,0,7000,0,96100,0,69700
SAAD,0,0,0,1037600,1360800,0,0,0,0,0,0,0,0,0,0,0,0,31100,494200,0,108200,185800,510600,1612500,170600,0,5743600,798900,1210300,885900,612200,82600,90400,596000,878600,0,1446900,0,0,262800,3131400,0,288000,375600,0,298700,0,0,0,0,1125200,183800,0,2504500,15400,12798800,0,220800,42200,447300,64400,5589800,1528700,78700,728900,0,0,0,6452200,1670900,733600,239900,314800,926400,1496700,9366200,1120200,9236100,0,0,1429500,0,0,0,185700,0,595900,266400,55900,0,0,133200,0,271500,0,1868400,2435400,0,0,0,0,0,0,0,0,0,200,0,2300,0,104100,0,7400
SAAV,0,57800,0,0,2235400,0,436500,300000,0,234400,100400,95200,0,0,0,0,500,344900,155700,43000,717700,0,0,81500,0,0,892600,1210300,902500,413000,0,0,309800,0,866400,0,267800,0,0,0,9846100,142200,145400,162600,0,0,37400,0,0,238800,1114800,0,142600,380000,0,13243200,0,0,0,39300,0,2407400,0,78600,1119600,0,0,0,7840400,1210200,413300,161300,462800,217600,3209700,2457800,11644900,3659900,0,0,290100,65200,0,0,163900,0,38200,0,0,0,0,1900,0,1290500,519400,0,571600,0,0,0,0,0,0,38200,0,0,0,113700,0,0,0,0,0
SDQ,0,0,0,1393600,0,0,0,0,0,0,0,0,0,622300,0,0,0,0,2566200,1537600,0,0,0,0,0,0,70200,885900,413000,4620200,0,5200,0,0,1118700,0,2965100,0,0,0,2717600,3696700,0,462600,481600,0,0,0,172200,299300,461200,0,545400,104800,0,453000,29600,311400,0,211400,0,5298800,0,12100,1562400,0,0,0,1742700,2099800,169400,788700,3100,416400,282200,0,1038200,1254200,0,0,255900,112500,0,9800,439400,70400,1118100,516100,0,405900,0,2285200,0,4602100,146200,264400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URB,0,0,0,44400,145600,0,0,0,0,0,51200,0,0,0,0,0,0,0,43200,0,178100,4545900,187400,5072800,178300,589600,0,612200,0,0,0,2212100,452600,282800,644600,0,0,0,0,0,23200,1094300,242700,0,0,0,16300,0,0,5700,78000,0,0,0,0,0,56600,0,1460600,4862600,1432100,129000,517000,3350200,0,0,1316700,0,1511300,3279000,0,173400,568700,354700,945700,516900,810900,66200,739500,585000,4424600,954100,61000,364800,0,156000,0,0,3240000,1766600,0,516100,0,2891900,0,0,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URX,1939200,100800,1088700,340500,54500,1099900,25200,0,1249800,272600,171100,0,6338300,0,0,0,0,16600,895700,0,871700,5002200,62600,2401800,0,314100,0,82600,0,5200,2212100,0,355700,185500,2721500,0,2000,356500,517400,60500,98800,142700,600800,975200,0,325500,196000,2114600,0,0,4016000,464700,10900,995700,2772700,60300,169400,2346500,89700,1745700,0,91200,47800,1600,0,0,2300,0,0,66500,90800,20400,170000,40500,133200,330700,115200,140200,162500,94600,321000,892300,498200,490500,1655300,1035600,0,0,2752800,222200,0,0,0,2171300,0,0,2881100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URYD,0,249600,0,0,0,0,3000,0,64400,161800,51600,0,193400,0,0,0,169800,164000,704000,0,2924600,3800,0,165800,8378400,0,0,90400,309800,0,452600,355700,0,0,518800,138400,175100,475600,31800,228800,519200,1064600,1038200,1261100,0,1029600,0,0,0,120400,0,2056700,0,325400,2997300,176100,0,0,3591800,0,0,211900,643800,0,1693400,545300,6500,0,31100,0,200000,0,181600,81300,74000,0,651700,6500,3270700,0,0,380300,122600,97800,526300,447700,102300,145900,96100,0,0,0,0,337400,138900,577500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
