,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,AVJ,BDU,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVK,AVL,CEPD,CEPV,DVC,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
SMBD,1088400,0,70480,1661200,2403920,0,0,0,80,0,0,0,0,0,0,158880,34480,5040,1463360,1027680,296520,0,16560,0,4179600,0,0,2939600,7159200,413800,1230160,0,38360,162640,1604560,0,880120,0,720,5060200,640120,175440,603440,340960,0,22400,75960,321200,43680,18480,1119960,480,800,2017920,75080,609160,3200,85720,757080,0,0,1548480,6434560,0,378040,1265120,0,0,778080,652960,6992600,3661360,5641680,7830960,612240,20552040,484640,130200,147360,0,745880,0,0,0,24760,3742960,730000,3643960,0,6800,0,212440,0,2656360,62720,182120,839520,1104840,0,490720,0,1313480,0,981200,7120,2052880,0,575600,0,1197760,0,140360,0
SMBV,4267760,2299600,145520,0,212240,0,1880,3920,1563840,0,0,0,0,180480,553920,2319200,0,0,456400,230840,0,788880,204680,393120,0,2299600,6066120,10288200,2774120,0,245200,153400,0,98720,434160,766160,0,0,821680,8093800,238480,214520,202640,689960,232640,16760,0,3000,0,12720,1301600,0,953560,1098440,519840,387520,0,279960,0,419360,691360,507000,361400,162960,4529080,0,0,1146720,1698240,916360,60000,2615920,1654120,625360,20552040,254200,361000,737760,0,211720,743680,939840,20880,916520,750560,1062560,106920,0,3545840,50160,0,83680,0,2656560,320120,1103600,949280,0,748960,0,145600,0,1151200,0,513640,0,1982080,0,601520,0,772280,0,152440
SMDD,0,0,0,81200,3719000,0,0,0,0,0,15920,0,0,0,0,0,0,0,0,120320,228080,11320,37880,2269680,904160,0,330480,5693000,15736760,513560,349840,19040,859920,0,360240,0,3188640,0,0,15840,4754600,0,138400,1922120,0,0,11040,0,2720,8960,14574560,3063240,0,19400,5880,10440480,0,0,993520,213200,100080,7360480,1619120,1840480,1140160,6202360,27760,1206880,3041160,2997360,4012960,101520,1686360,65040,484640,361000,1131280,16291800,172600,1384560,2270560,96320,37360,137720,1360,2102200,390800,2826480,2080,5000,0,5360,13920,3575920,0,9525160,323360,293000,248880,0,0,679200,154440,89680,0,957040,0,12160,0,109920,0,0,0
SMDV,0,0,0,0,2254640,12160,10080,0,0,0,0,0,309040,0,0,0,0,598400,1557120,9000,234080,75760,34480,2372840,8840,0,1400560,9030200,6203240,630200,0,0,240120,610440,836320,0,813120,25760,0,33240,5655040,155200,97440,2060880,960,2080,166960,0,0,0,16559680,2885880,0,73560,1000,9162360,0,0,260720,688880,493680,6636680,1723440,1417760,1129520,876400,221560,5941520,98320,1125760,6926040,1829000,778560,55760,130200,737760,16291800,2730680,1454280,153800,1194000,0,0,184080,845360,1598080,326480,0,2173200,0,0,0,37280,3495800,246640,5676080,434920,237200,137760,0,0,147760,566600,4440,21520,0,54200,0,54080,0,50600,0,17600
URAD,0,15040,0,0,0,0,0,0,0,14880,93400,21400,160,0,0,0,37160,11680,0,0,5373480,879440,0,0,1624800,0,0,0,0,0,999200,414640,4798560,0,3400,4800,0,58680,0,0,0,16200,0,0,77600,101680,0,0,159600,0,0,0,92880,0,273440,0,3343280,0,3247640,356000,22240,0,2116080,0,822520,1906160,6191400,1689320,0,971440,0,0,0,3320,147360,0,172600,1454280,0,1131240,0,99840,150080,129760,356400,0,0,4173040,0,0,0,340680,8320,565520,0,16400,0,5444160,0,2137200,8800,479840,0,27960,0,0,0,0,0,0,0,0,0
URAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70120,0,0,600280,4859760,162520,0,1688720,0,34760,0,0,1209800,0,0,1951040,112400,0,269960,0,0,0,520,30080,0,82560,0,0,0,236800,272560,170520,0,632640,0,337400,1088920,54960,3613200,0,700600,505440,2393720,75160,1530920,0,2504160,2290000,6272840,3200240,3040,1576680,199800,122560,134880,226040,0,211720,1384560,153800,1131240,5040,0,0,0,0,0,57440,164080,0,1657280,480440,0,0,0,268240,0,209320,0,0,5004920,560,3034040,0,264640,0,2120,0,5520,0,0,0,0,0,0
ADE,0,1520,0,456280,1519440,207680,0,0,0,0,280,0,0,0,0,0,0,0,532920,2891880,0,1957600,0,170960,0,0,0,2307040,2105320,300760,3525840,32320,0,0,1750480,0,0,437040,0,0,3946880,0,211800,29600,47200,270840,0,1600,286920,219760,308120,0,102240,3229720,0,36800,0,0,26880,2463760,4880,1465640,240,4330440,0,0,4508680,0,3063200,3590560,579600,1240,699280,450440,745880,743680,2270560,1194000,0,0,5669200,0,143520,787960,496240,1105120,672480,134480,300840,0,0,467040,0,3280,0,1340800,175840,0,0,0,25920,0,0,36080,110200,0,0,0,0,0,0,0,0
AIM,5632680,375440,0,558800,100800,0,1190160,8709520,2551000,3840,4044560,2363640,0,0,126080,2119160,532800,0,0,8400,3040,278000,0,105040,28400,311600,30720,0,0,0,480400,222120,59960,435400,280360,8862400,2010960,0,482080,1589920,1637200,245920,965240,748880,1677120,637280,960,0,0,0,0,0,1522720,0,0,0,136400,51960,41080,28000,0,0,0,0,0,0,0,0,0,0,165360,0,343840,114880,0,939840,96320,0,99840,0,0,131760,367520,3131040,1278440,0,0,15440,0,0,0,98240,1958480,767960,206320,98560,2702120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALA,0,2795680,0,3760,43120,0,26080,470200,0,932400,4369200,6302800,0,0,195760,0,0,0,0,0,20480,571720,0,142080,70800,0,0,0,6880,0,219920,405840,109040,0,0,410720,0,160,0,0,72400,0,262240,1348960,516000,0,0,0,0,0,0,0,0,0,0,0,46600,0,78480,343520,0,3200,0,0,0,0,0,0,0,0,92760,0,119200,0,0,20880,37360,0,150080,0,143520,367520,0,447680,1007560,0,0,30400,0,0,0,80,3408760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVF,179920,457680,0,0,71800,0,295800,0,731880,0,2282840,218760,0,5520,1427240,1528040,0,0,0,0,64960,474280,0,301000,224960,0,300040,0,127040,0,254680,253640,86480,0,395680,192880,0,0,0,0,145760,170960,214000,329880,837600,3091920,0,0,0,0,0,0,1657200,0,0,31360,4389160,0,2880,89080,0,0,0,0,0,0,0,0,0,0,22640,233200,199480,59760,0,916520,137720,184080,129760,0,787960,3131040,447680,3537040,365080,52680,0,65360,333360,0,0,1637400,5443480,67160,111120,0,5109320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVH,2955720,372480,0,539080,320,1982160,0,0,1174200,0,380640,0,0,371520,397960,721720,0,0,2673520,249920,324920,10200,0,0,93400,102720,2000,11960,16800,537560,0,2240480,209040,142760,1365960,14960,124360,921800,640,95600,1210080,3633760,1898400,57680,7424240,659480,3312080,4611080,246280,0,0,0,2473880,47520,0,269040,926200,3990880,72080,16560,0,634600,0,0,0,0,0,0,0,0,162960,970520,313440,142480,24760,750560,1360,845360,356400,0,496240,1278440,1007560,365080,144000,170680,0,254800,129440,144000,0,392240,0,881440,41600,0,6720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVK,0,0,0,0,302160,639280,0,0,0,0,0,0,197200,0,0,0,0,0,0,73200,83760,0,186080,40880,130680,679040,323600,655880,96400,0,0,0,312480,419520,102880,0,3702360,0,0,1096040,907600,1296880,57000,5241520,43200,0,60960,1780840,0,13862720,51520,25000,0,6500680,8440,6350720,0,0,79520,59360,214240,1046240,0,8332320,0,312600,258240,79240,8071880,1001440,3474080,1666080,880,129840,3742960,1062560,2102200,1598080,0,57440,1105120,0,0,52680,170680,5882240,9405200,160,0,7768320,0,0,0,956960,9440,5182080,853760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVL,0,0,0,0,0,8880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200200,0,227400,107600,118640,267920,0,13680,0,92440,48000,0,221200,636640,0,0,856200,0,0,0,41360,0,0,0,0,0,0,0,0,3550480,0,808920,0,1767080,156400,66720,0,447600,178520,0,97280,404920,45440,159560,0,458240,1704400,1190960,1165640,0,1045720,23680,8800,440440,730000,106920,390800,326480,0,164080,672480,0,0,0,0,9405200,0,0,0,18720,0,0,0,21440,8240,4469840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEPD,0,0,85600,730400,107480,0,0,0,0,0,46560,0,329160,0,0,0,8880,80,0,0,3667640,0,0,2658560,2613880,0,0,0,0,0,2115560,4896480,536480,0,1090160,0,0,96400,0,0,60320,256680,260560,1833360,156000,71560,0,0,2789080,0,2782480,310960,117760,0,1832040,97440,335760,0,1080120,588440,0,153680,3061560,2370760,3717120,26040,0,53840,1981040,2261480,521040,47920,62440,221480,3643960,0,2826480,0,4173040,0,134480,15440,30400,65360,254800,160,0,170720,0,0,0,386200,0,2887680,0,2782960,2121920,864480,0,17960,0,965360,0,1124920,300640,1337760,0,848240,0,1632960,0,1405880,0
CEPV,0,0,0,1709520,0,0,0,129560,0,900240,784800,1080,319280,2600,0,0,423400,956320,0,0,0,0,3909320,2810440,0,1073800,1115200,0,0,605160,1269360,364160,0,90080,246280,0,0,364520,0,0,0,827280,37920,2310880,15200,343240,0,0,4047200,0,3145360,801520,194960,37760,7975440,156640,476840,0,0,93440,3625520,310240,3101440,4103720,549120,0,40,196480,833280,1759520,0,1022960,271400,109800,0,3545840,2080,2173200,0,1657280,300840,0,0,333360,129440,0,0,0,1106720,260200,0,482120,232320,4195680,0,4072640,507600,0,2111880,0,18800,0,676400,92000,1320840,0,1352000,0,431680,0,537160,0,1657800
DVC,0,0,0,0,0,947920,0,0,0,0,0,0,265040,0,0,0,0,1123520,43840,79920,993920,1097880,3055160,112080,216280,281080,0,1167520,1200,0,0,244920,904360,1642160,100480,0,4206200,0,0,962920,2067600,831000,73640,176880,0,0,0,911320,0,6326720,230800,3800640,0,8303280,1242920,574080,0,8160,101320,0,136640,1368760,0,62400,0,360320,489200,0,1484560,0,0,0,0,0,6800,50160,5000,0,0,480440,0,0,0,0,144000,7768320,18720,0,260200,0,0,0,0,0,473040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVW,0,0,0,4736080,0,0,0,0,575040,0,0,0,0,6025520,0,0,0,0,388400,0,484440,350040,0,0,42840,0,55600,333920,32880,2540160,74240,2080,227120,63840,85680,0,0,0,0,0,0,1567640,240400,28880,2776760,11045760,151720,0,4047280,0,0,0,4706000,0,0,868960,1527000,0,377000,186520,0,0,0,0,0,0,0,0,0,0,0,105800,0,892680,212440,83680,5360,0,340680,0,467040,98240,80,1637400,392240,0,0,386200,482120,0,0,8678280,742600,480280,108400,0,2933800,0,0,0,0,0,0,2000,3680,0,0,920,0,0,0,0,0
PVQ,0,910800,0,0,0,0,825920,28320,136800,0,8344560,6410200,0,0,1452120,179200,0,0,0,0,0,1600,0,7800,15720,0,0,0,33400,0,3440,80,5640,0,504520,2628960,6080,0,0,0,0,0,42720,0,17200,2880240,880,0,0,0,0,0,968080,0,0,0,3808560,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,9080,11440,0,0,0,13920,37280,8320,0,0,1958480,3408760,5443480,0,0,0,0,232320,0,0,742600,0,0,137440,0,3331680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIC,0,0,0,127480,960,1767520,0,172720,427520,0,0,0,0,192040,0,0,0,0,968960,138720,609680,175480,361000,15840,2255560,1341160,2914880,386440,110040,2938880,2227520,1330360,394800,433680,6956440,281880,520440,0,0,711680,3297440,7237840,2314720,208800,986440,0,862880,280,2041680,0,0,0,0,0,0,1312760,489880,0,0,1999960,212400,3754320,627600,117640,177640,0,0,0,435360,9246080,2113720,4350560,2854840,6574440,2656360,2656560,3575920,3495800,565520,268240,3280,767960,0,67160,881440,956960,21440,2887680,4195680,0,0,480280,0,4784040,2598960,433640,1607040,0,0,0,0,0,0,0,0,720,0,0,0,4320,0,0,0
RID,0,0,249240,109280,0,247760,508560,0,402160,0,0,0,714680,216760,0,0,0,2524320,2309920,0,159280,0,195240,0,81400,76320,3520,0,292120,407040,3640,0,17200,56000,10160,149760,213680,5154080,0,285840,368240,1420960,2912480,90120,885880,4840,1528640,60240,0,199400,0,2296800,32320,2235080,57440,28320,0,19320,0,0,0,226520,0,0,128880,729080,0,233120,147680,0,0,292240,265840,2179200,62720,320120,0,246640,0,0,0,206320,0,111120,41600,9440,8240,0,0,473040,0,108400,137440,2598960,0,320,729320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIS,0,0,0,0,0,0,0,0,359280,0,0,0,243680,1550400,0,0,0,0,0,924080,269360,0,290560,11040,611680,861960,3760,845840,0,574480,0,14080,831520,1369520,0,9520,1767840,0,1809160,13280,0,1580280,0,3516400,561840,0,215520,0,0,181000,170000,6116640,0,671040,2322280,4749080,0,302320,543360,1005200,189480,514520,525120,5157200,84040,2799440,3476560,3996360,1718160,0,203440,69760,172360,123840,182120,1103600,9525160,5676080,16400,209320,1340800,98560,0,0,0,5182080,4469840,2782960,4072640,0,0,0,0,433640,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMG,214640,435880,0,523120,4690400,0,0,0,1291320,0,6640,253640,0,145440,52320,225760,0,0,170880,0,0,102880,0,98880,0,0,5253280,1537520,561400,0,7280,1490840,0,0,1215120,418160,887120,0,0,0,521520,199840,228640,812800,131680,1986240,102400,0,0,276520,14960,0,2068640,179080,6400,181080,433960,0,0,300360,0,151040,2348280,9281520,4758800,0,0,0,7474840,4159640,691800,391840,1476240,2561080,839520,949280,323360,434920,0,0,175840,2702120,0,5109320,6720,853760,0,2121920,507600,0,0,2933800,3331680,1607040,729320,0,0,0,0,10040,164880,0,0,1196560,1740960,0,0,2777960,2231320,0,0,2693720,1828960
BWM01D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79200,0,1027120,21040,0,0,2149520,0,695760,132520,157360,865680,0,0,0,0,0,0,1104840,0,293000,237200,5444160,0,0,0,0,0,0,0,0,864480,0,0,0,0,0,0,0,0,0,1480320,0,4393360,0,13072160,0,0,0,114720,0,0,0,0,0,0,0
BWM01V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65440,0,0,0,0,0,0,0,90880,0,0,0,735680,1040,609200,0,2473760,1361200,245520,278840,0,58080,0,0,0,0,0,748960,248880,137760,0,5004920,0,0,0,0,0,0,0,0,2111880,0,0,0,0,0,0,0,0,0,1623720,0,7939080,0,13209280,0,67160,0,312160,0,0,0,0,0,197360
BWM02D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661240,228160,0,0,2344240,742880,640680,0,6275120,0,663200,664680,0,0,0,0,490720,0,0,0,2137200,560,0,0,0,0,0,0,0,17960,0,0,0,0,0,0,0,0,10040,4393360,0,0,11069240,69680,0,13731640,137480,0,0,399320,0,0,0,15120,0
BWM02V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15880,0,0,0,0,0,0,0,127720,0,0,735960,408560,0,734480,904480,2055160,190560,5856560,39600,1089640,649680,0,0,0,0,0,145600,0,0,8800,3034040,25920,0,0,0,0,0,0,0,18800,0,0,0,0,0,0,0,164880,0,7939080,11069240,0,0,87120,791360,10572320,0,0,0,204920,0,0,0,1360
BWM03D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,90680,0,0,0,3439200,0,141920,708400,32480,256960,0,0,0,0,0,6800,1313480,0,679200,147760,479840,0,0,0,0,0,0,0,0,965360,0,0,0,0,0,0,0,0,0,13072160,0,69680,0,1483800,0,0,0,7511600,0,0,0,43000,0,0,0
BWM03V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,60080,222440,148320,0,3319040,576480,880,1019760,0,0,0,0,0,0,0,1151200,154440,566600,0,264640,0,0,0,0,0,0,0,0,676400,0,0,0,0,0,0,0,0,0,13209280,0,87120,0,2076240,0,0,0,7930040,0,0,0,300320,0,0
BWM04D,0,0,0,560,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50760,0,92960,0,0,0,0,541800,0,0,5680,0,0,0,2868400,2323560,54680,0,1066560,0,1177160,121160,0,0,0,166720,981200,0,89680,4440,27960,0,36080,0,0,0,0,0,0,1124920,92000,0,0,2000,0,0,0,0,1196560,0,0,13731640,791360,0,0,0,3119840,0,0,8224760,0,0,0,733600,0
BWM04V,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14160,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115720,0,1840,0,0,0,0,808480,0,0,0,240,5360,26520,52280,2578400,2288400,0,316000,0,1375080,79840,0,0,115480,0,7120,513640,0,21520,0,2120,110200,0,0,0,0,0,0,300640,1320840,0,0,3680,0,0,0,0,1740960,0,67160,137480,10572320,0,0,3119840,0,0,0,54160,5562400,0,0,170000,214000
BWM05D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8680,0,0,0,0,0,0,35040,0,120,0,0,0,0,0,0,0,0,0,0,0,2355600,0,246680,547080,0,25000,0,0,0,0,0,0,2052880,0,957040,0,0,0,0,0,0,0,0,0,0,1337760,0,0,0,0,0,720,0,0,0,114720,0,0,0,7511600,0,0,0,360080,0,0,0,3614400,0,0,0
BWM05V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160,74200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21640,0,0,0,0,0,0,0,0,0,0,0,0,742160,127720,0,1816520,3400,0,476960,0,0,0,80,0,0,0,1982080,0,54200,0,5520,0,0,0,0,0,0,0,0,1352000,0,0,0,0,0,0,0,0,0,312160,0,0,0,7930040,0,0,0,30000,0,0,0,2579360,0,0
BWM06D,0,0,0,0,45280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16960,0,0,0,0,0,0,643120,0,0,0,0,0,0,162800,611600,0,0,0,0,89720,19720,0,0,0,132760,575600,0,12160,0,0,0,0,0,0,0,0,0,0,848240,0,0,0,920,0,0,0,0,2777960,0,0,399320,0,0,0,8224760,54160,0,0,0,0,0,0,4806440,0
BWM06V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83680,58720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,593640,0,0,0,0,0,130240,0,759800,563760,0,0,0,81840,0,0,0,114720,0,0,601520,0,54080,0,0,0,0,0,0,0,0,0,0,431680,0,0,0,0,0,0,0,2231320,0,0,0,204920,0,0,0,5562400,0,0,0,0,0,0,0,3164640
BWM07D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,24800,0,0,0,0,0,0,0,0,0,0,0,0,0,146560,0,248560,214680,0,0,0,0,0,0,0,0,1197760,0,109920,0,0,0,0,0,0,0,0,0,0,1632960,0,0,0,0,0,4320,0,0,0,0,0,0,0,43000,0,0,0,3614400,0,0,0,320,0,0,0
BWM07V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,995920,90840,0,51080,0,0,96200,0,0,0,0,0,0,0,772280,0,50600,0,0,0,0,0,0,0,0,0,0,537160,0,0,0,0,0,0,0,0,0,0,0,0,0,300320,0,0,0,2579360,0,0,0,0,0,0
BWM08D,0,0,0,0,24440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52480,0,0,0,0,0,0,259520,0,0,0,0,0,0,0,45920,0,0,0,0,193360,0,0,0,0,4360,140360,0,0,0,0,0,0,0,0,0,0,0,0,1405880,0,0,0,0,0,0,0,0,2693720,0,0,15120,0,0,0,733600,170000,0,0,4806440,0,0,0,0,0
BWM08V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57840,0,0,0,0,0,0,91400,0,0,0,0,0,8560,0,61400,0,0,0,0,31280,0,0,0,3440,0,0,152440,0,17600,0,0,0,0,0,0,0,0,0,0,1657800,0,0,0,0,0,0,0,1828960,0,197360,0,1360,0,0,0,214000,0,0,0,3164640,0,0,0,0
