,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,AVJ,BDU,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVK,AVL,CEPD,CEPV,DVC,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
IL2L/R,1592280,142520,1130000,0,41680,17040,367560,0,0,213480,227320,0,2918000,0,0,0,264720,35640,463600,0,964160,0,819360,4699160,990840,1484360,0,169760,0,33840,4010880,4511040,311200,402480,192400,0,266400,347360,831440,240000,1440,0,0,797840,103640,203960,0,406960,0,760,109520,2444160,442800,75440,3755080,199120,8960,1123560,33600,4729640,3560,666760,29680,227560,0,769880,6616800,1239200,188000,595000,9320,31480,1840,260000,0,788880,11320,75760,879440,600280,1957600,278000,571720,474280,10200,0,0,0,0,1097880,0,350040,1600,175480,0,0,102880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2V,0,0,0,23920,0,0,0,0,0,0,0,0,0,0,0,0,0,37440,220760,0,0,819360,0,0,0,3124520,0,290400,0,0,152080,49760,0,2288320,228320,0,329120,0,0,37440,148680,140120,243280,31760,0,0,0,203360,320,303600,215160,159320,0,1478320,3950520,130440,3145360,57600,0,0,3934760,121040,39160,0,9080,1225320,2590760,681680,8480,170360,109120,81520,237120,448480,16560,204680,37880,34480,0,4859760,0,0,0,0,0,186080,227400,0,3909320,3055160,0,0,0,361000,195240,290560,0,0,37600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLL,0,468440,280960,0,305960,0,565280,0,0,362880,133080,19680,0,0,0,0,200360,0,0,0,0,4699160,0,572400,2384240,2530560,0,1741720,84160,0,6984280,235520,120720,50720,18160,0,862640,375760,0,0,0,0,69520,10092080,466320,0,0,0,0,115880,0,3072280,0,3513360,1280,19200,0,0,5844320,5138080,4312920,0,7325400,1181480,6444040,4259440,7545960,3328400,1357160,355360,0,177520,215360,140480,0,393120,2269680,2372840,0,162520,170960,105040,142080,301000,0,40880,107600,2658560,2810440,112080,0,0,7800,15840,0,11040,98880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQD,0,82960,58240,0,0,0,0,0,0,116000,104880,41000,100520,0,4960,0,422440,472400,0,0,3908840,990840,0,2384240,807720,42400,0,0,0,0,0,292560,7662320,0,80,99880,7040,500200,0,6040,200,0,444240,438000,4240,1120,0,0,581880,281480,0,440000,0,875520,3622040,0,1269680,0,7009600,0,0,0,4632000,16560,1331920,3014840,4093000,320240,60400,1666120,382960,0,0,3113000,4179600,0,904160,8840,1624800,0,0,28400,70800,224960,93400,130680,118640,2613880,0,216280,0,42840,15720,2255560,81400,611680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQV,129960,0,0,0,0,0,0,0,0,0,0,0,83800,0,0,0,0,139480,91560,0,0,1484360,3124520,2530560,42400,0,248440,0,0,0,631360,297120,0,2691760,239680,0,0,480,0,0,0,0,224560,480760,114640,0,0,0,400,774240,109880,1034160,0,1148640,6027520,0,1316760,180480,0,0,3181120,10800,456720,60280,2753040,15240,4249640,881120,293520,1694880,0,321200,2585680,296080,0,2299600,0,0,0,1688720,0,311600,0,0,102720,679040,267920,0,1073800,281080,0,0,0,1341160,76320,861960,0,0,0,0,0,0,0,0,14160,0,0,0,0,0,0,0,0
PLN,0,0,0,0,0,0,0,0,0,0,0,0,0,306480,0,0,0,0,44760,221600,0,0,0,0,0,248440,0,3521720,840880,0,0,0,0,0,0,69280,0,0,0,0,13920,0,180120,0,38560,0,0,0,1760,273040,0,0,0,1110080,0,130400,0,0,0,0,0,908560,0,286680,1767160,0,0,0,1002880,3688560,0,4480560,2186960,655200,0,6066120,330480,1400560,0,0,0,30720,0,300040,2000,323600,0,0,1115200,0,0,55600,0,2914880,3520,3760,5253280,0,0,0,0,0,0,0,0,0,5160,0,83680,0,0,0,80440
SAAD,0,0,0,910400,1062120,0,0,0,0,0,0,0,0,0,0,0,0,0,385280,0,800,169760,290400,1741720,0,0,3521720,1664240,1247880,1730480,627160,3600,0,649120,634040,0,1757280,0,0,15120,2900400,480,227680,697320,1920,0,28080,0,0,380960,954960,0,0,1917360,0,13887480,0,30440,0,196320,12880,6215520,1191280,314600,1117960,0,0,0,8807040,831120,1019520,0,171480,896440,2939600,10288200,5693000,9030200,0,34760,2307040,0,0,0,11960,655880,13680,0,0,1167520,0,333920,0,386440,0,845840,1537520,0,0,0,0,0,0,0,0,0,74200,0,58720,0,224800,0,0
SAAV,0,60960,134400,0,4862520,68640,634840,257600,0,231160,259720,166280,3880,0,0,0,115520,269920,440240,0,913200,0,0,84160,0,0,840880,1247880,1294480,761360,0,0,289360,0,709840,0,380360,67320,0,171280,12437840,70400,38720,231520,7480,0,308800,0,0,0,2574280,0,0,490120,4120,13711360,0,0,0,7000,0,1996360,0,6880,1069600,0,0,0,6631640,1405720,812680,966400,712600,60160,7159200,2774120,15736760,6203240,0,0,2105320,0,6880,127040,16800,96400,0,0,0,1200,0,32880,33400,110040,292120,0,561400,0,0,0,0,0,0,27680,0,0,0,87360,0,0,0,0,0
SDQ,0,0,0,2579360,12840,0,0,0,0,0,0,0,0,0,0,0,0,0,1149760,2140920,0,33840,0,0,0,0,0,1730480,761360,2093760,0,0,0,0,917880,0,2622840,187120,0,880,2655120,2653560,74800,144280,89760,672440,0,0,725840,234800,1042400,0,134360,566280,0,1906320,85040,0,0,303080,0,4038520,0,0,857960,0,0,0,1176960,2444240,404200,156360,0,739360,413800,0,513560,630200,0,0,300760,0,0,0,537560,0,92440,0,605160,0,0,2540160,0,2938880,407040,574480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URB,0,257200,63440,26960,119320,0,105400,0,21680,57280,151880,28760,0,0,0,320,42720,0,8080,0,0,4010880,152080,6984280,0,631360,0,627160,0,0,0,531920,0,499880,728320,0,0,76200,0,0,0,964640,847960,14320,399120,0,204640,0,29520,96000,0,242960,0,1400,0,0,198640,0,1475800,5666520,1348960,0,520160,3402680,3840,8080,1641880,0,708000,3344360,205160,137600,1039160,1179200,1230160,245200,349840,0,999200,1209800,3525840,480400,219920,254680,0,0,48000,2115560,1269360,0,0,74240,3440,2227520,3640,0,7280,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0
